"lastUpdate","description","srcurl_web","srcurl_pdf","srcurl_pdf_archived","url_csv","url_json"
"2021-03-24","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17634.html","https://www.mhlw.go.jp/content/10906000/000759126.pdf","https://www.stopcovid19.jp/data/covid19japan/000759126.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-03-24.csv","https://www.stopcovid19.jp/data/covid19japan/000759126.pdf.json"
"2021-03-25","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17682.html","https://www.mhlw.go.jp/content/10906000/000760076.pdf","https://www.stopcovid19.jp/data/covid19japan/000760076.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-03-25.csv","https://www.stopcovid19.jp/data/covid19japan/000760076.pdf.json"
"2021-03-26","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17701.html","https://www.mhlw.go.jp/content/10906000/000760544.pdf","https://www.stopcovid19.jp/data/covid19japan/000760544.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-03-26.csv","https://www.stopcovid19.jp/data/covid19japan/000760544.pdf.json"
"2021-03-27","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17705.html","https://www.mhlw.go.jp/content/10906000/000760570.pdf","https://www.stopcovid19.jp/data/covid19japan/000760570.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-03-27.csv","https://www.stopcovid19.jp/data/covid19japan/000760570.pdf.json"
"2021-03-28","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17737.html","https://www.mhlw.go.jp/content/10906000/000761176.pdf","https://www.stopcovid19.jp/data/covid19japan/000761176.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-03-28.csv","https://www.stopcovid19.jp/data/covid19japan/000761176.pdf.json"
"2021-03-29","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17762.html","https://www.mhlw.go.jp/content/10906000/000762294.pdf","https://www.stopcovid19.jp/data/covid19japan/000762294.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-03-29.csv","https://www.stopcovid19.jp/data/covid19japan/000762294.pdf.json"
"2021-03-30","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17801.html","https://www.mhlw.go.jp/content/10906000/000763331.pdf","https://www.stopcovid19.jp/data/covid19japan/000763331.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-03-30.csv","https://www.stopcovid19.jp/data/covid19japan/000763331.pdf.json"
"2021-03-31","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17829.html","https://www.mhlw.go.jp/content/10906000/000764516.pdf","https://www.stopcovid19.jp/data/covid19japan/000764516.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-03-31.csv","https://www.stopcovid19.jp/data/covid19japan/000764516.pdf.json"
"2021-04-01","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17860.html","https://www.mhlw.go.jp/content/10906000/000764994.pdf","https://www.stopcovid19.jp/data/covid19japan/000764994.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-01.csv","https://www.stopcovid19.jp/data/covid19japan/000764994.pdf.json"
"2021-04-02","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_17880.html","https://www.mhlw.go.jp/content/10906000/000765234.pdf","https://www.stopcovid19.jp/data/covid19japan/000765234.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-02.csv","https://www.stopcovid19.jp/data/covid19japan/000765234.pdf.json"
