"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"14","神奈川県","1027","410","２／３","1939","21%","1939","35","２／３","200","18%","200","264","２／２","859","31%","1000","353","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"15","新潟県","72","69","１／３","456","15%","456","0","１／３","112","0%","112","3","１／３","176","2%","176","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"16","富山県","5","5","１／４","500","1%","500","0","１／４","36","0%","36","0","１／４","125","0%","100","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"17","石川県","7","6","１／２","258","2%","254","0","１／２","35","0%","35","1","１／２","340","0%","340","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"18","福井県","19","19","１／４","215","9%","215","0","１／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"19","山梨県","58","52","２／４","285","18%","250","2","２／４","24","8%","24","6","２／４","139","4%","100","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"20","長野県","116","71","２／４","350","20%","350","0","２／４","48","0%","48","24","２／４","250","10%","250","21","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"21","岐阜県","107","103","１／３","625","16%","625","0","１／３","51","0%","51","4","１／３","466","1%","466","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"22","静岡県","172","84","３／４","398","21%","450","2","３／４","34","6%","67","52","３／４","379","14%","450","0","0","36","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"23","愛知県","1189","286","３／４","860","33%","839","15","３／４","70","21%","121","225","３／４","1300","17%","1300","540","0","138","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"24","三重県","44","41","２／３","349","12%","349","5","２／３","53","9%","53","0","２／３","100","0%","100","3","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"25","滋賀県","85","48","２／４","429","11%","450","0","２／４","45","0%","72","30","２／４","260","12%","250","6","0","1","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"26","京都府","191","106","３／３","569","19%","750","19","３／３","86","22%","86","29","３／３","338","9%","338","56","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"27","大阪府","1955","571","４／４","1405","41%","1615","103","４／４","366","28%","215","465","３／３","1517","31%","1036","406","0","513","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"28","兵庫県","459","297","４／５","671","44%","650","17","４／５","110","15%","120","162","４／５","698","23%","700","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"29","奈良県","154","133","２／３","467","28%","500","3","２／３","27","11%","25","21","２／３","108","19%","108","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"30","和歌山県","52","52","２／４","400","13%","400","1","２／４","40","3%","40","0","２／４","137","0%","137","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"31","鳥取県","11","11","１／３","313","4%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"32","島根県","1","1","１／５","253","0%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"33","岡山県","109","74","２／４","281","26%","250","3","２／４","37","8%","40","7","２／４","207","3%","180","22","0","6","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"34","広島県","36","32","１／３","553","6%","500","1","１／３","72","1%","70","2","１／３","709","0%","700","2","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"35","山口県","58","55","１／３","423","13%","423","3","１／３","137","2%","137","3","１／３","834","0%","834","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"36","徳島県","6","6","２／４","200","3%","200","2","２／４","25","8%","25","0","２／４","150","0%","150","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"37","香川県","17","15","１／３","196","8%","196","0","１／３","26","0%","26","2","１／３","101","2%","101","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"38","愛媛県","27","27","１／３","229","12%","223","0","１／３","33","0%","33","0","１／３","117","0%","117","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"39","高知県","0","0","１／４","200","0%","200","0","１／４","58","0%","57","0","１／４","361","0%","190","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"40","福岡県","97","47","１／３","551","9%","760","3","１／３","90","3%","110","35","１／３","1057","3%","1200","15","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"41","佐賀県","11","6","１／４","274","2%","274","0","１／４","46","0%","46","5","１／４","253","2%","253","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"42","長崎県","8","5","２／４","395","1%","395","0","２／４","27","0%","42","1","２／４","352","0%","550","2","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"43","熊本県","88","68","２／３","400","17%","400","3","２／３","59","5%","59","9","２／３","1430","1%","140","11","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"44","大分県","18","18","１／４","330","5%","330","0","１／４","41","0%","41","0","１／２","700","0%","170","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"45","宮崎県","13","4","１／３","246","2%","246","0","１／３","33","0%","33","0","１／３","250","0%","250","9","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"46","鹿児島県","33","27","２／４","342","8%","300","0","２／４","38","0%","48","6","２／４","370","2%","370","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"47","沖縄県","323","153","４／５","433","35%","425","14","４／５","53","26%","51","84","３／５","370","23%","340","86","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
