"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"38","愛媛県","6","5","5","１／３","132","244","2%","83%","0","0","１／３","5","19","0%","0","１／３","110","263","0%","1","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"39","高知県","2","1","1","１／５","77","238","0%","50%","0","0","１／５","16","58","0%","1","１／５","147","268","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"40","福岡県","52","9","9","２／５","545","1482","1%","17%","4","4","２／５","91","203","2%","15","２／５","800","2234","1%","28","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"41","佐賀県","2","2","2","１／５","263","468","0%","100%","0","0","１／５","8","48","0%","0","１／４","515","515","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"42","長崎県","0","0","0","１／４","68","440","0%","－","0","0","１／４","17","38","0%","0","１／４","489","535","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"43","熊本県","2","1","1","１／２","543","642","0%","50%","1","1","１／２","51","56","2%","1","２／２","1000","1000","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"44","大分県","0","0","0","１／４","500","500","0%","－","0","0","１／４","43","43","0%","0","１／４","444","1249","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"45","宮崎県","0","0","0","３／３","332","332","0%","－","0","0","３／３","33","33","0%","0","３／３","450","450","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"46","鹿児島県","0","0","0","２／４","210","477","0%","－","0","0","２／４","8","34","0%","0","２／４","0","1330","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"47","沖縄県","40","5","5","２／５","185","640","1%","13%","0","0","２／５","15","60","0%","4","２／５","70","852","0%","19","0","12","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
