"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"13","東京都","1993","751","733","４／４","6651","6651","11%","38%","265","262","４／４","1207","1207","22%","248","４／４","3310","3310","7%","648","6","346","10","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"14","神奈川県","900","337","337","２／４","1778","2000","17%","37%","51","51","２／４","184","210","24%","77","１／１","2302","2428","3%","483","1","3","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"15","新潟県","171","71","71","２／３","555","555","13%","42%","3","3","２／３","112","112","3%","16","２／３","300","300","5%","83","0","1","1","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"16","富山県","28","18","18","１／４","83","500","4%","64%","1","1","１／４","12","36","3%","3","１／４","500","500","1%","7","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"17","石川県","95","60","53","２／３","250","303","17%","63%","1","1","２／３","33","37","3%","16","２／３","560","560","3%","19","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"18","福井県","39","36","36","３／５","211","424","8%","92%","1","1","３／５","20","24","4%","3","５／５","216","216","1%","0","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"19","山梨県","34","17","17","３／４","210","367","5%","50%","0","0","３／４","19","24","0%","17","３／４","966","966","2%","0","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"20","長野県","60","28","28","２／３","353","529","5%","47%","1","1","２／３","34","43","2%","16","２／３","806","806","2%","14","1","2","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"21","岐阜県","241","89","89","２／３","424","859","10%","37%","3","3","２／３","55","59","5%","122","２／３","1016","1619","8%","0","0","30","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"22","静岡県","116","35","35","４／５","766","783","4%","30%","2","2","４／５","62","63","3%","24","４／５","870","870","3%","55","0","2","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"23","愛知県","1080","245","239","４／４","1722","1722","14%","23%","23","23","４／４","183","183","13%","133","４／４","1628","1691","8%","638","3","64","2","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"24","三重県","129","46","46","３／３","462","462","10%","36%","2","2","３／３","51","51","4%","3","３／３","259","259","1%","80","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"25","滋賀県","150","86","86","４／４","423","438","20%","57%","1","1","４／４","52","52","2%","37","４／４","677","677","5%","24","0","3","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"26","京都府","617","87","87","３／３","708","738","12%","14%","14","14","３／３","161","161","9%","91","３／３","1126","1126","8%","439","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"27","大阪府","2704","602","602","３／５","2959","3421","18%","22%","190","190","３／５","1056","1296","15%","473","４／６","6602","8408","6%","1504","0","125","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"28","兵庫県","791","244","244","６／６","1357","1357","18%","31%","26","26","６／６","142","142","18%","157","６／６","2011","2011","8%","347","0","43","23","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"29","奈良県","134","64","64","２／３","441","469","14%","48%","5","5","２／３","34","34","15%","38","２／３","948","948","4%","2","2","30","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"30","和歌山県","46","46","46","３／３","581","581","8%","100%","1","1","３／３","26","26","4%","0","３／３","151","288","0%","0","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"31","鳥取県","16","14","14","３／３","301","337","4%","88%","0","0","２／３","44","47","0%","0","１／１","277","364","0%","2","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"32","島根県","40","34","34","３／５","221","324","10%","85%","0","0","３／５","5","25","0%","0","３／５","133","133","0%","0","0","6","6","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"33","岡山県","81","28","28","３／４","435","557","5%","35%","1","1","３／４","49","68","1%","25","３／４","507","507","5%","26","0","2","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"34","広島県","219","60","55","３／５","558","877","6%","27%","4","4","３／５","47","69","6%","86","３／５","1597","2397","4%","68","0","5","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"35","山口県","64","58","58","２／４","237","533","11%","91%","0","0","２／４","10","47","0%","5","２／４","483","583","1%","1","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"36","徳島県","38","30","30","３／４","234","234","13%","79%","0","0","３／４","25","25","0%","4","３／４","400","400","1%","4","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"37","香川県","22","17","17","２／３","180","238","7%","77%","1","1","２／３","21","30","3%","3","２／３","368","368","1%","1","0","1","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"38","愛媛県","100","29","29","３／３","244","244","12%","29%","2","2","３／３","19","19","11%","23","３／３","263","263","9%","48","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"39","高知県","25","13","13","３／５","167","238","5%","52%","3","1","３／５","16","58","2%","10","３／５","228","268","4%","0","0","2","2","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"40","福岡県","722","183","178","４／５","1336","1482","12%","25%","20","20","４／５","190","203","10%","92","４／５","2000","2106","4%","447","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"41","佐賀県","63","37","37","１／５","260","465","8%","59%","1","1","１／５","8","48","2%","26","１／４","515","515","5%","0","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"42","長崎県","70","25","25","２／４","115","440","6%","36%","0","0","２／４","21","38","0%","31","２／４","513","535","6%","9","0","5","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"43","熊本県","100","50","50","２／２","642","642","8%","50%","5","5","２／２","56","56","9%","10","２／２","1000","1000","1%","36","0","4","3","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"44","大分県","80","40","40","２／４","490","490","8%","50%","1","1","２／４","43","43","2%","25","２／４","1019","1249","2%","5","0","10","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"45","宮崎県","25","13","13","３／３","332","332","4%","52%","0","0","３／３","33","33","0%","5","３／３","450","450","1%","6","0","1","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"46","鹿児島県","35","31","29","３／４","343","475","6%","89%","0","0","３／４","12","34","0%","4","３／４","1261","1261","0%","0","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"47","沖縄県","721","99","99","４／５","383","541","18%","14%","17","17","４／５","63","63","27%","113","４／５","663","722","16%","279","0","230","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
