"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"13","東京都","6864","2023","2011","４／４","5882","6314","32%","29%","538","538","４／４","1207","1207","45%","1696","４／４","2800","2800","61%","1840","1","1305","124","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"14","神奈川県","2528","544","544","３／４","1532","1790","30%","22%","38","38","３／４","159","199","19%","479","１／１","1657","1657","29%","1472","4","33","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"15","新潟県","76","44","44","２／３","555","555","8%","58%","0","0","２／３","112","112","0%","20","２／３","300","300","7%","9","0","3","3","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"16","富山県","26","23","23","１／４","83","500","5%","88%","2","2","１／４","12","36","6%","3","１／４","250","250","1%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"17","石川県","141","63","63","１／３","153","270","23%","45%","1","1","１／３","32","37","3%","50","１／３","560","560","9%","8","0","20","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"18","福井県","93","80","80","４／５","239","304","26%","86%","1","1","４／５","22","24","4%","13","４／５","95","146","9%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"19","山梨県","55","42","42","３／４","210","305","14%","76%","0","0","３／４","24","24","0%","13","３／４","449","449","3%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"20","長野県","33","24","24","２／３","342","490","5%","73%","0","0","２／３","34","42","0%","2","２／３","523","523","0%","7","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"21","岐阜県","65","50","50","１／３","316","783","6%","77%","4","4","１／３","53","59","7%","8","１／３","265","1097","1%","0","0","7","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"22","静岡県","339","95","95","４／５","595","606","16%","28%","5","5","４／５","57","58","9%","82","４／５","735","735","11%","122","21","40","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"23","愛知県","676","204","178","４／４","1515","1515","12%","30%","13","13","４／４","146","146","9%","79","４／４","1109","1300","6%","321","0","72","2","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"24","三重県","92","55","55","３／３","436","436","13%","60%","3","3","３／３","50","50","6%","11","３／３","240","240","5%","26","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"25","滋賀県","81","47","47","４／４","372","374","13%","58%","2","2","４／４","52","52","4%","26","４／４","400","400","7%","8","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"26","京都府","191","68","68","３／３","498","498","14%","36%","4","4","３／３","86","86","5%","74","３／３","826","826","9%","48","0","1","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"27","大阪府","1633","471","471","３／４","2171","2847","17%","29%","108","108","３／４","824","922","12%","398","２／４","1878","3986","10%","512","0","252","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"28","兵庫県","365","147","147","３／６","700","1214","12%","40%","15","15","３／６","100","137","11%","119","３／６","1000","1475","8%","77","0","22","10","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"29","奈良県","153","60","60","２／３","377","448","13%","39%","3","3","２／３","32","34","9%","67","２／３","711","711","9%","0","0","26","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"30","和歌山県","18","18","18","２／３","400","470","4%","100%","0","0","２／３","26","26","0%","0","２／３","137","137","0%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"31","鳥取県","32","17","17","２／３","278","328","5%","53%","0","0","２／３","44","47","0%","0","１／１","141","141","0%","0","0","15","15","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"32","島根県","9","9","9","１／５","115","324","3%","100%","0","0","１／５","5","25","0%","0","１／５","98","98","0%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"33","岡山県","39","7","7","３／４","395","492","1%","18%","1","1","３／４","47","58","2%","29","３／４","404","404","7%","3","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"34","広島県","76","36","36","２／４","426","695","5%","47%","5","5","２／４","39","58","9%","34","２／４","843","1748","2%","5","0","1","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"35","山口県","31","29","29","３／４","427","527","6%","94%","1","1","３／４","30","47","2%","0","３／４","483","1044","0%","0","0","2","2","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"36","徳島県","15","15","15","３／４","234","234","6%","100%","0","0","３／４","25","25","0%","0","３／４","276","276","0%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"37","香川県","26","17","17","２／３","175","230","7%","65%","1","1","２／３","20","28","4%","9","２／３","201","201","4%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"38","愛媛県","12","11","11","３／３","218","218","5%","92%","2","2","３／３","19","19","11%","0","３／３","233","233","0%","1","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"39","高知県","73","40","40","５／５","232","232","17%","55%","3","2","５／５","24","58","3%","30","５／５","140","221","14%","0","0","3","1","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"40","福岡県","470","143","143","４／５","1291","1413","10%","30%","9","9","４／５","188","201","4%","184","４／５","2106","2106","9%","123","0","20","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"41","佐賀県","11","9","9","１／５","172","367","2%","82%","0","0","１／５","8","48","0%","2","１／４","472","472","0%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"42","長崎県","29","19","19","２／４","128","428","4%","66%","0","0","２／４","21","38","0%","7","２／４","387","433","2%","3","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"43","熊本県","27","22","22","１／２","506","605","4%","81%","1","1","１／２","51","56","2%","3","２／２","680","680","0%","0","0","2","2","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"44","大分県","18","18","18","１／４","438","438","4%","100%","0","0","１／４","43","43","0%","0","１／４","150","1014","0%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"45","宮崎県","17","4","4","１／３","185","307","1%","24%","0","0","１／３","21","33","0%","8","１／３","50","300","3%","2","0","3","2","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"46","鹿児島県","45","35","35","３／４","294","425","8%","78%","0","0","３／４","19","41","0%","10","３／４","762","762","1%","0","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"47","沖縄県","580","253","253","５／５","519","699","36%","44%","40","40","５／５","65","65","62%","121","５／５","563","1412","9%","114","0","92","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
