"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"14","神奈川県","515","281","１／３","1939","14%","1939","20","１／３","200","10%","200","121","１／２","811","15%","1000","113","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"15","新潟県","2","2","１／３","456","0%","456","0","１／３","112","0%","112","0","１／３","176","0%","176","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"16","富山県","9","9","１／４","500","2%","500","1","１／４","36","3%","36","0","１／４","125","0%","100","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"17","石川県","27","26","１／２","258","10%","254","4","１／２","35","11%","35","1","１／２","340","0%","340","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"18","福井県","2","2","１／４","215","1%","190","0","１／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"19","山梨県","13","7","１／４","285","2%","250","1","１／４","24","4%","24","6","１／４","242","2%","100","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"20","長野県","11","11","２／４","350","3%","350","0","２／４","48","0%","48","0","２／４","250","0%","250","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"21","岐阜県","17","17","１／３","625","3%","625","2","１／３","51","4%","51","0","１／３","466","0%","466","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"22","静岡県","30","17","１／４","384","4%","450","2","１／４","34","6%","67","9","１／４","379","2%","450","0","0","4","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"23","愛知県","289","108","２／４","791","14%","839","12","２／４","70","17%","121","34","２／４","1300","3%","1300","133","0","14","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"24","三重県","53","53","２／３","363","15%","363","2","２／３","51","4%","51","0","２／３","100","0%","100","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"25","滋賀県","16","16","２／４","429","4%","450","0","２／４","45","0%","72","0","２／４","260","0%","250","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"26","京都府","61","49","２／３","530","9%","750","9","２／３","86","10%","86","4","２／３","338","1%","338","8","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"27","大阪府","478","239","２／４","1337","18%","1615","37","２／４","333","11%","215","89","２／３","872","10%","1015","63","0","87","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"28","兵庫県","122","96","５／５","663","14%","650","11","５／５","110","10%","120","26","５／５","698","4%","700","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"29","奈良県","18","17","１／３","467","4%","500","0","１／３","25","0%","25","1","１／３","108","1%","108","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"30","和歌山県","4","4","２／４","400","1%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"31","鳥取県","4","4","１／３","313","1%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"32","島根県","0","0","１／５","253","0%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"33","岡山県","8","7","１／４","257","3%","250","3","１／４","37","8%","40","1","１／４","207","0%","180","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"34","広島県","87","70","１／３","553","13%","500","1","１／３","72","1%","70","13","１／３","854","2%","700","4","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"35","山口県","7","7","１／４","423","2%","423","1","１／４","102","1%","102","0","１／４","834","0%","834","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"36","徳島県","5","5","２／４","200","3%","200","0","２／４","25","0%","25","0","２／４","150","0%","150","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"37","香川県","0","0","１／３","185","0%","185","0","１／３","25","0%","25","0","１／３","101","0%","101","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"38","愛媛県","1","1","１／３","229","0%","223","0","１／３","33","0%","33","0","１／３","117","0%","117","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"39","高知県","0","0","１／４","192","0%","200","0","１／４","57","0%","57","0","１／４","361","0%","190","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"40","福岡県","68","45","２／３","490","9%","760","6","２／３","60","10%","110","11","２／３","1057","1%","1200","12","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"41","佐賀県","1","0","１／４","274","0%","274","0","１／４","46","0%","46","1","１／４","253","0%","253","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"42","長崎県","2","1","２／４","395","0%","395","0","２／４","27","0%","42","0","２／４","224","0%","550","1","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"43","熊本県","67","56","１／３","400","14%","400","0","１／３","59","0%","59","6","１／３","1430","0%","140","5","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"44","大分県","1","1","１／４","330","0%","330","0","１／４","41","0%","41","0","１／２","700","0%","170","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"45","宮崎県","1","1","１／３","246","0%","246","0","１／３","33","0%","33","0","１／３","250","0%","250","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"46","鹿児島県","28","8","３／４","253","3%","300","0","３／４","48","0%","48","17","３／４","370","5%","370","3","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"47","沖縄県","256","156","３／５","430","36%","425","28","３／５","57","49%","51","66","３／５","340","19%","340","34","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
