"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"11","埼玉県","352","234","３／４","1095","21%","1400","10","２／４","122","8%","200","66","１／３","1225","5%","1450","40","0","12","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"12","千葉県","294","190","３／４","1147","17%","1200","8","３／４","101","8%","180","42","３／４","710","6%","1400","41","0","21","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"13","東京都","2201","1255","３／４","4000","31%","4000","106","２／４","500","21%","500","179","３／４","1860","10%","3000","405","9","353","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"14","神奈川県","607","269","１／３","1939","14%","1939","30","１／３","200","15%","200","131","１／２","545","24%","1000","189","18","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"15","新潟県","7","7","１／３","456","2%","456","1","１／３","112","1%","112","0","１／３","176","0%","176","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"16","富山県","24","22","２／４","500","4%","500","1","２／４","36","3%","36","2","２／４","100","2%","100","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"17","石川県","111","101","２／２","258","39%","254","7","２／２","35","20%","35","10","２／２","340","3%","340","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"18","福井県","53","53","３／４","215","25%","215","5","３／４","24","21%","24","0","３／４","75","0%","75","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"19","山梨県","10","10","２／４","285","4%","250","1","２／４","24","4%","24","0","２／４","100","0%","100","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"20","長野県","40","40","２／４","350","11%","350","0","２／４","48","0%","48","0","２／４","250","0%","250","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"21","岐阜県","18","18","１／３","625","3%","625","2","１／３","51","4%","51","0","１／３","466","0%","466","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"22","静岡県","30","27","３／４","384","7%","450","2","３／４","34","6%","67","0","３／４","223","0%","450","0","0","3","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"23","愛知県","444","219","３／４","791","28%","839","17","３／４","70","24%","121","34","３／４","1300","3%","1300","180","0","11","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"24","三重県","84","84","２／３","363","23%","363","2","２／３","51","4%","51","0","２／３","100","0%","100","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"25","滋賀県","49","47","２／４","429","11%","450","3","２／４","45","7%","72","2","２／４","260","1%","250","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"26","京都府","137","81","２／３","515","16%","750","10","２／３","86","12%","86","28","２／３","338","8%","338","28","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"27","大阪府","839","443","３／４","1282","35%","1615","44","３／４","188","23%","215","128","３／３","1517","8%","1015","167","0","101","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"28","兵庫県","118","99","５／５","663","15%","650","12","５／５","110","11%","120","19","５／５","698","3%","700","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"29","奈良県","35","34","１／３","467","7%","500","2","１／３","25","8%","25","1","１／３","108","1%","108","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"30","和歌山県","3","3","２／４","400","1%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"31","鳥取県","0","0","１／３","313","0%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"32","島根県","0","0","１／５","253","0%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"33","岡山県","1","1","１／４","250","0%","250","0","１／４","37","0%","40","0","１／４","207","0%","180","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"34","広島県","12","12","１／３","553","2%","500","0","１／３","72","0%","70","0","１／３","854","0%","700","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"35","山口県","53","53","２／４","423","13%","423","1","２／４","102","1%","102","0","２／４","834","0%","834","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"36","徳島県","52","45","２／４","200","23%","200","3","２／４","25","12%","25","7","２／４","150","5%","150","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"37","香川県","11","10","１／３","185","5%","185","0","１／３","25","0%","25","1","１／３","101","1%","101","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"38","愛媛県","1","1","１／３","229","0%","223","0","１／３","33","0%","33","0","１／３","117","0%","117","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"39","高知県","8","8","２／４","192","4%","200","1","２／４","57","2%","57","0","２／４","361","0%","190","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"40","福岡県","625","225","２／３","490","46%","760","17","２／３","60","28%","110","67","２／３","1057","6%","1200","333","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"41","佐賀県","8","8","３／４","281","3%","281","0","３／４","47","0%","47","0","３／４","253","0%","253","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"42","長崎県","23","13","３／４","395","3%","395","0","３／４","27","0%","42","5","３／４","224","2%","550","5","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"43","熊本県","46","42","１／３","400","11%","400","0","１／３","59","0%","59","2","１／３","1430","0%","140","2","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"44","大分県","18","17","２／４","330","5%","330","0","２／４","41","0%","41","1","１／２","700","0%","170","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"45","宮崎県","18","18","２／３","246","7%","246","0","２／３","33","0%","33","0","２／３","250","0%","250","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"46","鹿児島県","25","22","３／４","253","9%","300","1","３／４","48","2%","48","3","３／４","370","1%","370","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"47","沖縄県","239","187","４／５","461","41%","425","20","４／５","49","41%","51","18","４／５","340","5%","340","34","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
