"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"15","新潟県","38","37","37","２／３","555","555","7%","97%","3","3","２／３","112","112","3%","0","２／３","300","300","0%","1","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"16","富山県","41","34","34","２／４","204","500","7%","83%","1","1","２／４","14","36","3%","6","２／４","250","250","2%","1","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"17","石川県","27","25","25","３／３","290","435","6%","93%","0","0","３／３","37","39","0%","2","３／３","560","560","0%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"18","福井県","165","148","148","４／５","223","304","49%","90%","0","0","４／５","19","24","0%","17","４／５","95","146","12%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"19","山梨県","120","69","69","３／４","210","305","23%","58%","1","1","３／４","24","24","4%","47","３／４","449","449","10%","4","4","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"20","長野県","70","44","44","２／３","342","490","9%","63%","1","1","２／３","34","42","2%","12","２／３","523","523","2%","14","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"21","岐阜県","117","95","95","１／３","378","783","12%","81%","3","3","１／３","53","59","5%","16","１／３","265","957","2%","0","0","6","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"22","静岡県","272","85","85","４／５","595","606","14%","31%","5","5","４／５","57","58","9%","69","４／５","636","736","9%","94","4","24","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"23","愛知県","911","324","317","４／４","1515","1515","21%","36%","26","26","４／４","146","146","18%","79","４／４","1109","1300","6%","459","9","49","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"24","三重県","82","65","65","３／３","435","435","15%","79%","4","4","３／３","57","57","7%","4","３／３","240","240","2%","13","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"25","滋賀県","91","69","69","４／４","372","374","18%","76%","8","8","４／４","52","52","15%","8","４／４","400","400","2%","11","0","3","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"26","京都府","164","69","69","３／３","498","498","14%","42%","11","11","３／３","86","86","13%","40","３／３","826","826","5%","55","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"27","大阪府","1293","450","450","３／４","2355","2710","17%","35%","149","149","３／４","764","841","18%","211","２／４","1878","3986","5%","332","0","300","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"28","兵庫県","241","136","136","６／６","1151","1151","12%","56%","16","16","６／６","136","136","12%","40","６／６","1475","1475","3%","45","0","20","10","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"29","奈良県","201","111","111","２／３","370","448","25%","55%","2","2","２／３","30","34","6%","57","２／３","711","711","8%","0","0","33","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"30","和歌山県","19","19","19","２／３","400","470","4%","100%","1","1","２／３","26","26","4%","0","２／３","137","137","0%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"31","鳥取県","15","5","5","２／３","264","328","2%","33%","0","0","２／３","44","47","0%","0","１／１","141","141","0%","0","0","10","10","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"32","島根県","3","3","3","１／５","146","324","1%","100%","1","1","１／５","7","25","4%","0","１／５","98","98","0%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"33","岡山県","25","24","24","３／４","395","492","5%","96%","4","4","３／４","47","58","7%","1","３／４","404","404","0%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"34","広島県","149","100","99","３／４","502","710","14%","67%","13","13","３／４","48","58","22%","25","３／４","843","1748","1%","23","11","1","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"35","山口県","58","50","50","４／４","527","527","9%","86%","2","2","４／４","47","47","4%","3","４／４","483","1044","0%","0","0","5","5","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"36","徳島県","5","5","5","３／４","234","234","2%","100%","0","0","３／４","25","25","0%","0","３／４","276","276","0%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"37","香川県","20","16","16","３／３","230","230","7%","80%","0","0","３／３","28","28","0%","1","３／３","201","201","0%","0","0","3","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"38","愛媛県","8","6","6","３／３","218","218","3%","75%","3","3","３／３","19","19","16%","0","３／３","233","233","0%","2","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"39","高知県","107","56","56","５／５","232","232","24%","52%","8","7","５／５","24","58","12%","46","５／５","221","221","21%","0","0","5","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"40","福岡県","399","189","187","４／５","1281","1403","13%","47%","13","13","４／５","188","201","6%","106","４／５","2106","2106","5%","90","0","14","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"41","佐賀県","14","13","13","１／５","172","367","4%","93%","0","0","１／５","8","48","0%","1","１／４","472","472","0%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"42","長崎県","81","33","33","３／４","258","421","8%","41%","0","0","３／４","20","38","0%","33","３／４","406","406","8%","15","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"43","熊本県","62","49","49","１／２","506","605","8%","79%","5","5","１／２","51","56","9%","11","２／２","520","520","2%","2","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"44","大分県","25","25","25","１／４","438","438","6%","100%","0","0","１／４","43","43","0%","0","１／４","150","1014","0%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"45","宮崎県","28","11","11","１／３","183","301","4%","39%","0","0","１／３","21","33","0%","4","１／３","50","300","1%","10","0","3","2","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"46","鹿児島県","50","42","42","４／４","421","421","10%","84%","1","1","４／４","41","41","2%","7","４／４","762","762","1%","0","0","1","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"47","沖縄県","1115","444","444","５／５","623","713","62%","40%","58","58","５／５","87","87","67%","153","５／５","563","700","22%","324","0","194","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
