"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"20","長野県","1","1","1","１／３","124","529","0%","100%","0","0","１／３","28","43","0%","0","１／３","806","806","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"21","岐阜県","10","6","6","１／４","317","882","1%","60%","0","0","１／４","53","59","0%","2","１／３","549","1619","0%","0","0","2","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"22","静岡県","9","2","2","２／５","600","737","0%","22%","0","0","２／５","62","63","0%","2","２／５","870","870","0%","3","0","2","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"23","愛知県","66","11","11","４／４","1605","1605","1%","17%","2","2","４／４","173","173","1%","14","４／４","1628","1691","1%","29","0","12","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"24","三重県","3","0","0","３／３","465","465","0%","0%","0","0","３／３","50","50","0%","1","３／３","375","375","0%","2","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"25","滋賀県","13","9","9","４／４","441","443","2%","69%","0","0","４／４","52","52","0%","1","４／４","677","677","0%","3","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"26","京都府","35","28","28","３／３","708","738","4%","80%","0","0","３／３","161","161","0%","6","３／３","1126","1126","1%","1","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"27","大阪府","192","78","78","１／５","2007","3603","2%","41%","18","18","１／５","948","1333","1%","33","３／６","2730","8514","0%","79","0","2","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"28","兵庫県","67","33","33","１／６","400","1357","2%","49%","4","4","１／６","70","142","3%","9","１／６","500","2011","0%","21","0","4","1","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"29","奈良県","6","1","1","２／３","356","477","0%","17%","0","0","２／３","32","34","0%","2","２／３","1136","1136","0%","0","0","3","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"30","和歌山県","1","1","1","３／３","581","581","0%","100%","0","0","３／３","26","26","0%","0","３／３","151","288","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"31","鳥取県","0","0","0","３／３","256","337","0%","－","0","0","２／３","44","47","0%","0","１／１","277","364","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"32","島根県","2","2","2","１／５","189","324","1%","100%","0","0","１／５","5","25","0%","0","１／５","133","133","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"33","岡山県","62","23","23","２／４","399","557","4%","37%","1","1","２／４","37","68","1%","15","２／４","256","507","3%","24","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"34","広島県","11","5","5","２／５","438","872","1%","45%","0","0","２／５","35","64","0%","2","２／５","1624","2397","0%","4","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"35","山口県","3","1","1","２／４","237","549","0%","33%","0","0","２／４","10","47","0%","0","２／４","630","730","0%","2","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"36","徳島県","1","1","1","３／４","234","234","0%","100%","0","0","３／４","25","25","0%","0","３／４","400","400","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"37","香川県","0","0","0","１／３","146","238","0%","－","0","0","１／３","17","30","0%","0","１／３","368","368","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"38","愛媛県","2","2","2","１／３","132","244","1%","100%","0","0","１／３","5","19","0%","0","１／３","110","263","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"39","高知県","0","0","0","１／５","77","238","0%","－","0","0","１／５","16","58","0%","0","１／５","147","268","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"40","福岡県","77","18","18","２／５","545","1482","1%","23%","4","4","２／５","91","203","2%","14","２／５","800","2234","1%","45","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"41","佐賀県","2","2","2","１／５","263","468","0%","100%","0","0","１／５","8","48","0%","0","１／４","515","515","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"42","長崎県","1","1","1","１／４","68","440","0%","100%","0","0","１／４","17","38","0%","0","１／４","489","535","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"43","熊本県","0","0","0","１／２","543","642","0%","－","0","0","１／２","51","56","0%","0","１／２","1000","1000","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"44","大分県","0","0","0","１／４","500","500","0%","－","0","0","１／４","43","43","0%","0","１／４","444","1349","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"45","宮崎県","0","0","0","３／３","332","332","0%","－","0","0","３／３","33","33","0%","0","３／３","450","450","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"46","鹿児島県","1","1","1","１／４","45","477","0%","100%","0","0","１／４","3","34","0%","0","１／４","0","1330","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"47","沖縄県","12","1","1","２／５","173","641","0%","8%","0","0","２／５","17","60","0%","1","２／５","70","852","0%","8","0","2","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
