"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"11","埼玉県","537","303","３／４","1078","28%","1400","11","３／４","121","9%","200","94","１／３","1225","8%","1450","94","0","46","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"12","千葉県","370","242","３／４","1147","21%","1200","9","３／４","101","9%","180","58","３／４","710","8%","1400","50","0","20","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"13","東京都","2565","1418","３／４","4000","35%","4000","101","３／４","500","20%","500","265","３／４","1860","14%","3000","466","3","413","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"14","神奈川県","570","265","１／３","1939","14%","1939","23","１／３","200","12%","200","136","１／２","1000","14%","1000","169","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"15","新潟県","8","8","１／３","456","2%","456","0","１／３","112","0%","112","0","１／３","176","0%","176","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"16","富山県","58","50","２／４","500","10%","500","0","２／４","36","0%","36","8","２／４","100","8%","100","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"17","石川県","136","131","２／２","258","51%","254","5","２／２","35","14%","35","3","２／２","340","1%","340","0","0","2","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"18","福井県","68","65","３／４","190","34%","190","3","３／４","24","13%","24","3","３／４","75","4%","75","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"19","山梨県","15","15","２／４","285","5%","250","1","２／４","24","4%","24","0","２／４","100","0%","100","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"20","長野県","91","86","２／４","350","25%","350","0","２／４","48","0%","48","0","２／４","250","0%","250","0","0","5","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"21","岐阜県","27","27","２／３","625","4%","625","3","２／３","51","6%","51","0","２／３","466","0%","466","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"22","静岡県","41","34","３／４","466","7%","450","1","３／４","37","3%","67","4","３／４","450","1%","450","0","0","3","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"23","愛知県","684","289","３／４","791","37%","839","16","３／４","70","23%","121","50","３／４","1300","4%","1300","321","0","24","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"24","三重県","47","46","２／３","363","13%","363","3","２／３","51","6%","51","1","２／３","100","1%","100","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"25","滋賀県","92","81","２／４","429","19%","450","7","２／４","45","16%","72","10","２／４","250","4%","250","1","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"26","京都府","166","78","２／３","515","15%","750","15","２／３","86","17%","86","34","２／３","338","10%","338","54","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"27","大阪府","1235","488","３／４","1282","38%","1615","61","３／４","188","32%","215","144","３／３","1517","9%","1015","445","0","158","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"28","兵庫県","158","125","５／５","663","19%","650","13","５／５","110","12%","120","33","５／５","698","5%","700","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"29","奈良県","39","38","１／３","467","8%","500","4","１／３","25","16%","25","1","１／３","108","1%","108","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"30","和歌山県","7","7","２／４","400","2%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"31","鳥取県","0","0","１／３","313","0%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"32","島根県","2","2","１／５","253","1%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"33","岡山県","4","4","１／４","250","2%","250","0","１／４","37","0%","40","0","１／４","180","0%","180","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"34","広島県","12","12","１／３","553","2%","500","0","１／３","72","0%","70","0","１／３","854","0%","700","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"35","山口県","82","82","２／４","423","19%","423","0","２／４","102","0%","102","0","２／４","638","0%","638","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"36","徳島県","65","59","２／４","200","30%","200","2","２／４","25","8%","25","6","２／４","150","4%","150","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"37","香川県","7","6","１／３","185","3%","185","0","１／３","25","0%","25","1","１／３","101","1%","101","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"38","愛媛県","1","1","１／３","229","0%","223","0","１／３","33","0%","33","0","１／３","117","0%","117","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"39","高知県","21","21","２／４","192","11%","200","1","２／４","57","2%","57","0","２／４","420","0%","190","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"40","福岡県","831","260","２／３","490","53%","760","14","２／３","60","23%","110","154","２／３","1057","15%","1200","417","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"41","佐賀県","18","15","３／４","281","5%","281","0","３／４","47","0%","47","3","３／４","253","1%","253","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"42","長崎県","43","22","３／４","395","6%","395","1","３／４","27","4%","42","9","３／４","224","4%","550","12","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"43","熊本県","76","66","２／３","400","17%","400","0","２／３","59","0%","59","9","２／３","1430","1%","140","1","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"44","大分県","16","11","２／４","330","3%","330","0","２／４","41","0%","41","5","１／２","170","3%","170","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"45","宮崎県","30","28","２／３","246","11%","246","0","２／３","33","0%","33","2","２／３","250","1%","250","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"46","鹿児島県","53","44","３／４","253","17%","300","1","３／４","48","2%","48","8","３／４","370","2%","370","1","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"47","沖縄県","398","256","５／５","461","56%","425","20","５／５","49","41%","51","52","５／５","340","15%","340","90","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
