"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"11","埼玉県","1340","604","４／４","1435","42%","1469","41","４／４","146","28%","200","225","３／３","1436","16%","1450","405","0","106","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"12","千葉県","1173","554","４／４","1271","44%","1200","22","４／４","92","24%","180","197","４／４","968","20%","1400","393","0","29","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"13","東京都","2651","1353","４／４","5048","27%","4000","267","４／４","1024","26%","500","368","４／４","3290","11%","3000","508","27","395","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"14","神奈川県","973","412","３／４","1555","26%","1555","29","３／４","190","15%","190","134","２／２","1725","8%","1000","422","5","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"15","新潟県","67","53","２／３","555","10%","555","2","２／３","112","2%","112","10","２／３","222","5%","222","4","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"16","富山県","9","9","１／４","500","2%","500","1","１／４","36","3%","36","0","１／４","377","0%","100","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"17","石川県","40","33","２／２","258","13%","254","5","２／２","35","14%","35","7","２／２","340","2%","340","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"18","福井県","3","3","１／４","255","1%","255","0","１／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"19","山梨県","2","1","１／４","285","0%","250","0","１／４","24","0%","24","1","３／４","139","1%","100","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"20","長野県","19","17","２／４","434","4%","434","0","２／４","49","0%","49","1","２／４","375","0%","375","1","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"21","岐阜県","110","97","３／３","694","14%","694","9","３／３","59","15%","59","13","３／３","603","2%","603","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"22","静岡県","158","70","４／４","480","15%","450","1","４／４","40","3%","67","36","４／４","592","6%","450","52","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"23","愛知県","515","260","３／４","1215","21%","839","26","３／４","126","21%","121","70","３／４","1300","5%","1300","146","0","39","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"24","三重県","89","83","３／３","392","21%","392","4","３／３","53","8%","53","4","３／３","100","4%","100","2","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"25","滋賀県","173","107","２／３","351","30%","350","7","２／３","49","14%","62","57","２／３","350","16%","350","9","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"26","京都府","156","42","３／３","416","10%","416","9","３／３","86","10%","86","24","３／３","826","3%","826","90","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"27","大阪府","910","448","３／４","1980","23%","2021","108","３／４","419","26%","221","183","１／３","2416","8%","2416","231","0","48","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"28","兵庫県","349","201","５／６","839","24%","750","34","５／６","116","29%","120","55","５／６","1130","5%","1000","0","0","93","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"29","奈良県","78","38","３／３","372","10%","372","8","３／３","30","27%","30","24","３／３","254","9%","254","0","0","16","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"30","和歌山県","7","7","２／４","400","2%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"31","鳥取県","1","1","２／３","313","0%","300","0","２／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"32","島根県","1","1","１／５","253","0%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"33","岡山県","77","63","２／４","406","16%","250","1","２／４","43","2%","40","8","２／４","207","4%","180","6","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"34","広島県","37","31","１／３","485","6%","500","3","１／３","48","6%","70","6","１／３","1038","1%","1400","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"35","山口県","31","28","３／３","475","6%","475","0","３／３","124","0%","137","3","１／３","834","0%","834","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"36","徳島県","20","20","２／４","200","10%","200","2","２／４","25","8%","25","0","２／４","210","0%","210","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"37","香川県","18","15","２／３","209","7%","209","0","２／３","26","0%","26","1","２／３","101","1%","101","0","0","2","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"38","愛媛県","21","14","３／３","270","5%","223","1","３／３","33","3%","33","6","３／３","192","3%","117","1","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"39","高知県","20","18","２／４","200","9%","200","3","２／４","58","5%","57","0","２／４","203","0%","190","2","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"40","福岡県","388","198","３／３","770","26%","760","16","３／３","111","14%","110","77","３／３","1387","6%","1200","53","60","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"41","佐賀県","68","54","３／４","328","16%","328","1","３／４","46","2%","46","13","１／４","377","3%","377","0","0","1","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"42","長崎県","4","4","３／４","424","1%","421","0","３／４","38","0%","42","0","３／４","384","0%","384","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"43","熊本県","27","16","１／３","505","3%","420","2","１／３","59","3%","59","10","１／３","380","3%","140","1","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"44","大分県","13","10","１／４","367","3%","367","0","１／４","43","0%","43","2","１／２","700","0%","170","1","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"45","宮崎県","7","7","１／３","274","3%","274","1","１／３","33","3%","33","0","１／３","250","0%","250","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"46","鹿児島県","12","12","３／４","375","3%","300","2","３／４","42","5%","48","0","３／４","577","0%","370","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"47","沖縄県","249","157","４／５","507","31%","425","0","４／５","63","0%","51","61","４／５","440","14%","340","31","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
