"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"19","山梨県","220","83","83","３／４","210","305","27%","38%","0","0","３／４","24","24","0%","103","３／４","449","449","23%","34","34","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"20","長野県","70","47","47","２／３","342","490","10%","67%","2","2","２／３","34","42","5%","12","２／３","523","523","2%","11","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"21","岐阜県","185","150","150","２／３","461","783","19%","81%","9","9","２／３","55","59","15%","29","２／３","411","957","3%","0","0","6","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"22","静岡県","281","93","93","４／５","593","606","15%","33%","4","4","４／５","57","58","7%","81","４／５","636","736","11%","65","11","42","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"23","愛知県","1474","513","505","４／４","1515","1515","33%","35%","43","43","４／４","146","146","29%","111","４／４","1109","1300","9%","752","15","98","2","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"24","三重県","79","51","51","３／３","435","435","12%","65%","4","4","３／３","57","57","7%","2","３／３","240","240","1%","26","26","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"25","滋賀県","159","126","126","４／４","372","374","34%","79%","8","8","４／４","52","52","15%","30","４／４","400","400","8%","2","0","1","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"26","京都府","235","102","102","３／３","498","498","20%","43%","15","15","３／３","86","86","17%","45","３／３","826","826","5%","88","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"27","大阪府","1708","597","597","３／４","2488","2710","22%","35%","194","194","３／４","776","841","23%","227","２／４","2166","3986","6%","465","0","419","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"28","兵庫県","338","200","200","６／６","1151","1151","17%","59%","28","28","６／６","136","136","21%","67","６／６","1475","1475","5%","46","0","25","12","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"29","奈良県","154","80","80","２／３","370","448","18%","52%","8","8","２／３","30","34","24%","51","２／３","711","711","7%","0","0","23","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"30","和歌山県","11","11","11","２／３","400","470","2%","100%","2","2","２／３","26","26","8%","0","２／３","137","137","0%","0","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"31","鳥取県","2","2","2","２／３","264","328","1%","100%","0","0","２／３","44","47","0%","0","１／１","141","141","0%","0","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"32","島根県","4","4","4","１／５","154","324","1%","100%","1","1","１／５","7","25","4%","0","１／５","98","98","0%","0","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"33","岡山県","72","54","54","３／４","395","492","11%","75%","8","8","３／４","47","58","14%","15","３／４","404","404","4%","3","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"34","広島県","275","167","166","３／４","502","710","23%","61%","16","16","３／４","48","58","28%","64","３／４","1037","1748","4%","42","13","2","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"35","山口県","83","77","77","４／４","527","527","15%","93%","1","1","４／４","47","47","2%","0","４／４","483","1044","0%","1","0","5","5","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"36","徳島県","12","12","12","３／４","234","234","5%","100%","0","0","３／４","25","25","0%","0","３／４","276","276","0%","0","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"37","香川県","30","27","27","３／３","230","230","12%","90%","2","2","３／３","28","28","7%","0","３／３","201","201","0%","3","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"38","愛媛県","16","12","12","３／３","218","218","6%","75%","3","3","３／３","19","19","16%","3","３／３","233","233","1%","1","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"39","高知県","110","57","57","５／５","232","232","25%","52%","5","5","５／５","24","58","9%","31","５／５","221","221","14%","0","0","22","3","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"40","福岡県","764","281","274","５／５","1345","1403","20%","37%","25","25","５／５","201","201","12%","95","５／５","2106","2106","5%","257","1","131","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"41","佐賀県","11","8","8","３／５","246","367","2%","73%","0","0","３／５","11","48","0%","3","１／４","472","472","1%","0","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"42","長崎県","73","39","39","４／４","351","421","9%","53%","0","0","４／４","38","38","0%","27","４／４","406","406","7%","7","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"43","熊本県","83","64","64","２／２","598","598","11%","77%","8","8","２／２","56","56","14%","12","２／２","520","520","2%","5","0","2","2","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"44","大分県","45","41","41","２／４","438","438","9%","91%","1","1","２／４","43","43","2%","4","１／４","150","1014","0%","0","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"45","宮崎県","15","12","12","１／３","183","301","4%","80%","0","0","１／３","21","33","0%","1","１／３","50","300","0%","0","0","2","1","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"46","鹿児島県","79","55","55","４／４","421","421","13%","70%","1","1","４／４","41","41","2%","23","４／４","762","762","3%","0","0","1","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"47","沖縄県","1498","511","511","５／５","659","715","71%","34%","64","64","５／５","92","92","70%","139","５／５","563","700","20%","515","0","333","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
