"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"22","静岡県","5151","441","441","５／５","748","748","59%","9%","33","33","５／５","62","62","53%","217","５／５","735","735","30%","4155","26","338","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"23","愛知県","19151","925","895","４／４","1570","1570","57%","5%","62","62","４／４","170","170","36%","550","４／４","1514","1577","35%","16058","0","1618","7","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"24","三重県","4282","302","302","３／３","467","492","61%","7%","23","23","３／３","54","54","43%","74","３／３","259","259","29%","3906","0","0","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"25","滋賀県","1913","307","307","４／４","383","385","80%","16%","18","18","４／４","52","52","35%","252","４／４","677","677","37%","1312","0","42","3","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"26","京都府","8055","466","466","３／３","614","614","76%","6%","97","97","３／３","152","152","64%","325","３／３","1126","1126","29%","7258","0","6","6","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"27","大阪府","26753","2263","2263","５／５","2954","3193","71%","8%","550","550","４／５","1029","1234","45%","3345","５／５","6131","6131","55%","17723","0","3422","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"28","兵庫県","7466","877","877","６／６","1237","1237","71%","12%","73","73","６／６","142","142","51%","831","６／６","1723","1723","48%","4462","0","1296","779","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"29","奈良県","1734","318","318","３／３","454","454","70%","18%","18","18","３／３","34","34","53%","497","３／３","711","711","70%","0","0","919","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"30","和歌山県","441","441","441","３／３","570","570","77%","100%","2","2","３／３","26","26","8%","0","３／３","151","288","0%","0","0","0","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"31","鳥取県","255","98","98","３／３","310","337","29%","38%","0","0","２／３","44","47","0%","84","１／１","364","364","23%","50","0","23","23","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"32","島根県","265","135","135","５／５","265","324","42%","51%","1","1","５／５","5","25","4%","28","５／５","133","133","21%","50","0","52","24","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"33","岡山県","1702","270","268","４／４","557","557","48%","16%","21","21","４／４","68","68","31%","251","４／４","507","507","50%","1165","15","16","3","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"34","広島県","3030","465","465","５／５","806","848","55%","15%","23","23","５／５","63","69","33%","1024","５／５","1748","2397","43%","1136","7","405","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"35","山口県","682","315","288","４／４","558","633","45%","46%","2","2","４／４","47","47","4%","183","４／４","583","1144","16%","50","0","134","46","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"36","徳島県","481","122","122","３／４","234","234","52%","25%","3","3","３／４","25","25","12%","215","３／４","400","400","54%","144","0","0","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"37","香川県","685","126","114","３／３","234","234","49%","18%","8","8","３／３","28","28","29%","77","３／３","212","212","36%","177","0","305","305","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"38","愛媛県","496","93","93","３／３","253","253","37%","19%","3","3","３／３","26","26","12%","73","３／３","263","263","28%","324","0","6","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"39","高知県","775","100","100","５／５","228","234","43%","13%","5","5","５／５","24","58","9%","133","５／５","237","277","48%","525","0","17","9","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"40","福岡県","10619","950","934","５／５","1472","1472","63%","9%","40","40","５／５","203","203","20%","1318","５／５","2106","2106","63%","7869","0","482","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"41","佐賀県","660","181","181","４／５","378","389","47%","27%","2","2","４／５","42","48","4%","248","４／４","472","495","50%","231","0","0","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"42","長崎県","635","169","169","４／４","394","532","32%","27%","1","1","４／４","38","42","2%","94","４／４","433","433","22%","348","0","24","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"43","熊本県","1973","329","329","２／２","610","732","45%","17%","18","18","２／２","56","71","25%","364","２／２","789","809","45%","967","0","313","152","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"44","大分県","1123","227","227","３／４","454","454","50%","20%","3","3","３／４","43","43","7%","412","３／４","984","1214","34%","454","0","30","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"45","宮崎県","980","148","148","３／３","307","307","48%","15%","8","8","３／３","33","33","24%","129","３／３","450","450","29%","591","5","112","1","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"46","鹿児島県","1425","356","343","４／４","566","566","61%","25%","6","6","４／４","39","39","15%","428","４／４","1209","1209","35%","0","0","641","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"47","沖縄県","6294","877","703","５／５","847","847","83%","14%","116","116","５／５","130","130","89%","319","５／５","702","1412","23%","3009","0","2089","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
