"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"27","大阪府","14438","1946","1946","５／５","2760","3134","62%","13%","478","478","４／５","963","1225","39%","2494","５／５","4716","4716","53%","9039","0","959","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"28","兵庫県","4723","764","764","６／６","1237","1237","62%","16%","57","57","６／６","142","142","40%","832","６／６","1475","1475","56%","2238","0","889","486","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"29","奈良県","1123","291","291","３／３","448","448","65%","26%","11","11","３／３","34","34","32%","469","３／３","711","711","66%","0","0","363","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"30","和歌山県","280","280","280","３／３","515","530","53%","100%","1","1","３／３","26","26","4%","0","３／３","0","137","0%","0","0","0","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"31","鳥取県","269","108","108","３／３","297","328","33%","40%","3","3","２／３","44","47","6%","36","１／１","271","271","13%","91","0","34","34","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"32","島根県","198","148","148","４／５","226","324","46%","75%","1","1","４／５","5","25","4%","7","４／５","133","133","5%","2","0","41","41","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"33","岡山県","1485","186","186","４／４","557","557","33%","13%","7","7","３／４","68","68","10%","273","４／４","404","507","54%","963","0","63","1","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"34","広島県","1324","250","250","４／５","708","827","30%","19%","8","8","４／５","60","69","12%","741","４／４","1685","1748","42%","209","0","124","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"35","山口県","489","265","265","４／４","533","533","50%","54%","3","3","４／４","47","47","6%","118","４／４","483","483","24%","19","0","87","87","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"36","徳島県","176","105","105","３／４","234","234","45%","60%","0","0","３／４","25","25","0%","69","３／４","276","276","25%","2","0","0","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"37","香川県","604","155","147","３／３","234","234","63%","26%","9","9","３／３","28","28","32%","89","３／３","212","212","42%","72","0","288","288","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"38","愛媛県","634","101","101","３／３","253","253","40%","16%","5","5","３／３","26","26","19%","104","３／３","263","263","40%","412","0","17","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"39","高知県","255","66","64","５／５","226","226","28%","26%","5","5","５／５","24","58","9%","129","５／５","221","221","58%","0","0","60","10","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"40","福岡県","7778","882","880","５／５","1433","1444","61%","11%","27","27","５／５","202","202","13%","1489","５／５","2106","2106","71%","5183","2","224","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"41","佐賀県","571","204","204","４／５","369","380","54%","36%","0","0","４／５","42","48","0%","367","４／４","472","495","74%","0","0","0","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"42","長崎県","637","188","188","４／４","381","428","44%","30%","1","1","４／４","38","38","3%","121","４／４","433","433","28%","328","0","0","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"43","熊本県","1464","326","326","２／２","610","610","53%","22%","8","8","２／２","56","56","14%","322","２／２","680","680","47%","447","0","369","183","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"44","大分県","849","200","200","３／４","439","439","46%","24%","1","1","３／４","43","43","2%","380","３／４","534","1014","37%","70","0","199","37","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"45","宮崎県","581","79","79","３／３","307","307","26%","14%","1","1","３／３","33","33","3%","163","３／３","450","450","36%","149","0","190","7","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"46","鹿児島県","1297","341","327","４／４","458","458","71%","26%","2","2","４／４","39","39","5%","329","４／４","804","804","41%","0","0","627","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"47","沖縄県","5746","801","645","５／５","786","786","82%","14%","107","107","５／５","131","131","82%","373","５／５","702","1412","26%","2274","0","2298","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
