"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"18","福井県","85","85","４／４","255","33%","255","1","４／４","24","4%","24","0","１／４","75","0%","75","0","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"19","山梨県","124","80","３／４","285","28%","250","3","３／４","24","13%","24","44","３／４","449","10%","100","0","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"20","長野県","302","174","３／４","434","40%","434","7","３／４","49","14%","49","91","３／４","715","13%","375","35","0","2","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"21","岐阜県","894","435","３／３","739","59%","739","10","３／３","59","17%","59","270","３／３","773","35%","773","0","0","189","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"22","静岡県","495","143","４／４","537","27%","450","7","４／４","48","15%","67","150","４／４","592","25%","450","202","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"23","愛知県","4585","794","４／４","1215","65%","839","54","４／４","126","43%","121","299","４／４","1300","23%","1300","2914","0","578","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"24","三重県","531","205","３／３","437","47%","437","12","３／３","61","20%","61","47","３／３","145","32%","145","279","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"25","滋賀県","539","255","３／３","370","69%","350","13","３／３","50","26%","62","175","３／３","400","44%","400","97","2","10","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"26","京都府","1535","313","３／３","469","67%","469","34","３／３","86","40%","86","242","３／３","826","29%","826","980","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"27","大阪府","21900","2144","４／４","2599","82%","2599","512","４／４","743","69%","221","1496","３／３","3680","41%","3680","15031","0","3229","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"28","兵庫県","4595","765","６／６","1030","74%","1200","101","６／６","124","81%","130","323","６／６","1325","24%","1500","1735","0","1772","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"29","奈良県","875","290","３／３","401","72%","401","25","３／３","32","78%","32","233","３／３","554","42%","554","0","0","352","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"30","和歌山県","190","190","４／４","470","40%","400","5","４／４","26","19%","40","0","４／４","137","0%","137","0","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"31","鳥取県","40","39","２／３","313","12%","300","1","２／３","47","2%","40","1","１／３","340","0%","150","0","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"32","島根県","35","35","２／５","253","14%","253","1","２／５","25","4%","25","0","２／５","98","0%","98","0","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"33","岡山県","1347","309","４／４","412","75%","250","26","４／４","43","60%","40","223","４／４","404","55%","180","759","17","39","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"34","広島県","1199","286","３／３","483","59%","500","12","３／３","48","25%","70","471","３／３","1400","34%","1400","173","5","264","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"35","山口県","395","272","３／３","520","52%","520","4","３／３","47","9%","137","117","３／３","1044","11%","1044","6","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"36","徳島県","210","139","３／４","267","52%","230","5","３／４","25","20%","25","71","３／４","276","26%","246","0","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"37","香川県","410","113","３／３","215","53%","215","4","３／３","26","15%","26","80","３／３","201","40%","201","0","0","217","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"38","愛媛県","262","72","３／３","270","27%","223","8","３／３","33","24%","33","46","３／３","233","20%","117","128","14","2","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"39","高知県","64","41","３／４","200","21%","200","3","３／４","58","5%","57","22","３／４","203","11%","190","1","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"40","福岡県","4587","742","３／３","1049","71%","760","61","３／３","136","45%","110","926","３／３","1538","60%","1200","2791","128","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"41","佐賀県","364","172","４／５","356","48%","356","3","４／５","47","6%","47","192","４／４","377","51%","377","0","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"42","長崎県","484","240","４／４","424","57%","421","13","４／４","38","34%","42","89","４／４","384","23%","384","155","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"43","熊本県","771","246","３／３","505","49%","420","18","３／３","59","31%","59","162","３／３","440","37%","140","363","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"44","大分県","749","215","３／４","418","51%","418","5","３／４","43","12%","43","233","２／２","700","33%","170","225","0","76","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"45","宮崎県","475","72","２／３","281","26%","281","4","２／３","33","12%","33","129","２／３","250","52%","250","243","31","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"46","鹿児島県","436","206","４／４","378","54%","300","4","４／４","44","9%","48","193","４／４","577","33%","370","37","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"47","沖縄県","1153","410","５／５","545","75%","425","48","５／５","65","74%","51","157","５／５","413","38%","340","371","0","215","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
