"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"11","埼玉県","2847","659","659","４／４","1666","1666","40%","23%","28","28","４／４","165","165","17%","489","４／４","1425","1986","25%","1104","0","595","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"12","千葉県","1933","546","536","３／３","1275","1275","42%","28%","18","18","３／３","101","101","18%","447","３／３","1012","1012","44%","792","0","148","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"13","東京都","10396","2466","2456","４／４","5967","6406","38%","24%","637","637","４／４","1207","1207","53%","1798","４／４","2940","2940","61%","4068","0","2064","100","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"14","神奈川県","3540","619","619","３／４","1530","1790","35%","17%","40","40","３／４","157","199","20%","604","１／１","1657","1657","36%","2241","0","76","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"15","新潟県","141","55","55","２／３","555","555","10%","39%","1","1","２／３","112","112","1%","29","２／３","300","300","10%","29","0","28","28","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"16","富山県","55","46","46","２／４","206","500","9%","84%","1","1","２／４","14","36","3%","9","２／４","250","250","4%","0","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"17","石川県","280","79","79","３／３","153","270","29%","28%","1","1","３／３","32","37","3%","113","３／３","560","560","20%","27","0","61","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"18","福井県","50","47","47","２／５","144","304","15%","94%","0","0","２／５","10","24","0%","3","２／５","95","146","2%","0","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"19","山梨県","37","28","28","３／４","210","305","9%","76%","0","0","３／４","24","24","0%","9","３／４","449","449","2%","0","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"20","長野県","32","22","22","２／３","342","490","4%","69%","1","1","２／３","34","42","2%","6","２／３","523","523","1%","4","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"21","岐阜県","92","66","66","１／３","320","783","8%","72%","3","3","１／３","53","59","5%","14","１／３","265","1097","1%","0","0","12","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"22","静岡県","345","99","99","４／５","595","606","16%","29%","5","5","４／５","57","58","9%","87","４／５","735","735","12%","114","0","45","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"23","愛知県","773","237","212","４／４","1515","1515","14%","31%","10","10","４／４","146","146","7%","115","４／４","1109","1300","9%","323","0","98","4","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"24","三重県","160","81","81","３／３","436","436","19%","51%","3","3","３／３","50","50","6%","20","３／３","240","240","8%","59","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"25","滋賀県","104","60","60","４／４","372","374","16%","58%","2","2","４／４","52","52","4%","39","４／４","677","677","6%","3","0","2","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"26","京都府","322","122","122","３／３","498","498","24%","38%","6","6","３／３","86","86","7%","121","３／３","826","826","15%","79","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"27","大阪府","2614","628","628","３／５","2151","3086","20%","24%","135","135","３／５","929","1205","11%","840","２／５","1878","3986","21%","943","0","203","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"28","兵庫県","692","256","256","３／６","700","1214","21%","37%","13","13","３／６","100","137","9%","251","３／６","1000","1475","17%","134","0","51","24","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"29","奈良県","206","101","101","２／３","377","448","23%","49%","3","3","２／３","32","34","9%","68","２／３","711","711","10%","0","0","37","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"30","和歌山県","40","40","40","２／３","400","470","9%","100%","0","0","２／３","26","26","0%","0","２／３","137","137","0%","0","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"31","鳥取県","128","96","96","２／３","278","328","29%","75%","1","1","２／３","44","47","2%","9","１／１","141","141","6%","3","0","20","20","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"32","島根県","49","49","49","２／５","142","324","15%","100%","0","0","２／５","5","25","0%","0","２／５","98","98","0%","0","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"33","岡山県","104","18","18","３／４","395","492","4%","17%","1","1","３／４","47","58","2%","70","３／４","404","404","17%","16","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"34","広島県","114","40","40","２／５","426","851","5%","35%","4","4","２／５","39","69","6%","58","２／４","843","1748","3%","15","0","1","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"35","山口県","38","33","33","３／４","427","527","6%","87%","1","1","３／４","30","47","2%","3","３／４","483","1044","0%","0","0","2","2","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"36","徳島県","48","48","48","３／４","234","234","21%","100%","0","0","３／４","25","25","0%","0","３／４","276","276","0%","0","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"37","香川県","28","11","11","２／３","175","230","5%","39%","0","0","２／３","20","28","0%","10","２／３","201","201","5%","0","0","7","7","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"38","愛媛県","52","48","48","３／３","218","218","22%","92%","2","2","３／３","19","19","11%","1","３／３","233","263","0%","2","0","1","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"39","高知県","75","44","44","５／５","226","232","19%","59%","1","1","５／５","24","58","2%","25","５／５","140","221","11%","0","0","6","1","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"40","福岡県","649","181","181","４／５","1291","1413","13%","28%","8","8","４／５","188","201","4%","240","４／５","2106","2106","11%","199","0","29","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"41","佐賀県","43","31","31","１／５","172","367","8%","72%","0","0","１／５","8","48","0%","12","１／４","472","472","3%","0","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"42","長崎県","77","37","37","２／４","141","428","9%","48%","0","0","２／４","0","38","0%","29","２／４","387","433","7%","11","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"43","熊本県","48","35","35","１／２","506","605","6%","73%","0","0","１／２","51","56","0%","6","２／２","680","680","1%","7","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"44","大分県","41","34","34","１／４","438","438","8%","83%","0","0","１／４","43","43","0%","7","１／４","150","1014","1%","0","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"45","宮崎県","28","10","10","２／３","267","307","3%","36%","0","0","２／３","21","33","0%","8","２／３","150","300","3%","2","0","8","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"46","鹿児島県","51","36","36","３／４","294","425","8%","71%","0","0","３／４","19","41","0%","12","３／４","762","762","2%","0","0","3","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"47","沖縄県","729","233","233","５／５","450","705","33%","32%","40","40","５／５","62","62","65%","192","５／５","602","1412","14%","139","0","165","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
