都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
38,愛媛県,5,5,223,223,0,15,43,0,67,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
39,高知県,0,0,166,200,0,16,50,0,16,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
40,福岡県,40,39,490,1800,2,60,300,1,826,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
41,佐賀県,0,0,146,232,0,32,47,0,230,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
42,長崎県,0,0,307,903,0,21,29,0,163,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
43,熊本県,0,0,378,400,0,48,48,0,1430,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
44,大分県,0,0,258,300,0,35,35,0,65,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
45,宮崎県,0,0,204,231,0,21,21,0,200,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
46,鹿児島県,1,1,253,253,0,48,48,0,188,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
47,沖縄県,0,0,225,430,0,33,37,0,0,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
