"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"16","富山県","2","2","１／４","500","0%","500","0","１／４","36","0%","36","0","１／４","125","0%","100","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"17","石川県","20","20","１／２","258","8%","254","4","１／２","35","11%","35","0","１／２","340","0%","340","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"18","福井県","4","4","１／４","215","2%","215","0","１／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"19","山梨県","4","4","１／４","285","1%","250","1","１／４","24","4%","24","0","１／４","100","0%","100","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"20","長野県","6","5","２／４","350","1%","350","0","２／４","48","0%","48","1","２／４","250","0%","250","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"21","岐阜県","11","11","１／３","625","2%","625","1","１／３","51","2%","51","0","１／３","466","0%","466","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"22","静岡県","9","5","２／４","384","1%","450","0","２／４","34","0%","67","3","２／４","379","1%","450","0","0","1","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"23","愛知県","232","87","２／４","791","11%","839","10","２／４","70","14%","121","26","２／４","1300","2%","1300","95","0","24","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"24","三重県","23","23","２／３","363","6%","363","0","２／３","51","0%","51","0","２／３","100","0%","100","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"25","滋賀県","16","16","２／４","429","4%","450","0","２／４","45","0%","72","0","２／４","260","0%","250","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
