"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"22","静岡県","559","170","170","４／５","567","582","29%","30%","7","7","４／５","48","50","14%","99","４／５","476","726","14%","253","0","37","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"23","愛知県","4735","977","946","４／４","1259","1515","62%","21%","95","95","４／４","126","146","65%","417","４／４","1109","1300","32%","3024","92","317","12","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"24","三重県","324","140","140","３／３","433","433","32%","43%","11","11","３／３","57","57","19%","35","３／３","145","240","15%","149","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"25","滋賀県","446","260","260","４／４","374","374","70%","58%","15","15","４／４","52","52","29%","118","４／４","400","400","30%","57","2","11","5","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"26","京都府","826","211","211","３／３","498","498","42%","26%","24","24","３／３","86","86","28%","133","３／３","826","826","16%","477","0","5","5","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"27","大阪府","8411","1410","1410","４／４","2661","2680","53%","17%","320","317","４／４","792","792","40%","537","３／３","3986","3986","13%","4897","0","1567","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"28","兵庫県","1388","597","597","６／６","1151","1151","52%","43%","90","90","６／６","136","136","66%","233","６／６","1475","1475","16%","325","0","233","69","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"29","奈良県","258","162","162","３／３","437","443","37%","63%","11","11","３／３","32","32","34%","63","３／３","711","711","9%","0","0","33","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"30","和歌山県","68","68","68","３／３","470","470","14%","100%","2","2","３／３","26","26","8%","0","３／３","137","137","0%","0","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"31","鳥取県","30","29","29","２／３","267","323","9%","97%","0","0","２／３","44","47","0%","1","１／１","141","141","1%","0","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"32","島根県","64","63","63","３／５","213","324","19%","98%","3","3","３／５","8","25","12%","1","３／５","98","98","1%","0","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"33","岡山県","578","280","254","４／４","492","492","52%","48%","18","18","４／４","58","58","31%","112","４／４","404","404","28%","185","1","1","1","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"34","広島県","1325","479","479","４／４","703","704","68%","36%","26","26","４／４","56","56","46%","365","４／４","1748","1748","21%","327","8","154","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"35","山口県","364","276","276","４／４","527","527","52%","76%","6","6","４／４","47","47","13%","46","４／４","483","1044","4%","21","15","21","10","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"36","徳島県","37","37","37","３／４","234","234","16%","100%","1","1","３／４","25","25","4%","0","３／４","276","276","0%","0","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"37","香川県","117","83","77","３／３","230","230","33%","71%","6","6","３／３","28","28","21%","12","３／３","201","201","6%","4","0","18","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"38","愛媛県","62","33","33","３／３","218","218","15%","53%","4","4","３／３","19","19","21%","13","３／３","233","233","6%","15","1","1","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"39","高知県","259","109","109","５／５","226","226","48%","42%","6","6","５／５","24","58","10%","65","５／５","97","221","29%","0","0","85","5","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"40","福岡県","3509","966","905","４／４","1255","1346","67%","28%","75","75","４／４","169","172","44%","579","４／４","1891","2106","27%","1964","39","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"41","佐賀県","124","98","98","４／５","349","365","27%","79%","3","3","４／５","42","48","6%","26","１／４","472","472","6%","0","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"42","長崎県","122","79","79","４／４","351","351","23%","65%","2","2","４／４","38","38","5%","26","４／４","406","406","6%","17","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"43","熊本県","492","280","280","２／２","598","598","47%","57%","25","25","２／２","56","56","45%","64","２／２","520","520","12%","129","0","19","14","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"44","大分県","280","149","149","３／４","438","438","34%","53%","3","3","３／４","43","43","7%","72","３／４","444","1014","7%","35","2","24","2","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"45","宮崎県","91","50","50","２／３","245","285","18%","55%","3","3","２／３","21","33","9%","21","２／３","150","300","7%","16","0","4","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"46","鹿児島県","254","148","147","４／４","419","419","35%","58%","2","2","４／４","41","41","5%","102","４／４","762","762","13%","0","0","4","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"47","沖縄県","2674","608","608","５／５","610","610","100%","23%","88","88","５／５","102","102","86%","208","５／５","413","702","30%","1205","0","653","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
