"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"19","山梨県","1","1","1","１／４","89","376","0%","100%","0","0","１／４","7","24","0%","0","１／４","966","966","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"20","長野県","20","1","1","１／３","124","529","0%","5%","0","0","１／３","28","43","0%","15","１／３","806","806","2%","4","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"21","岐阜県","67","27","27","１／４","314","882","3%","40%","1","1","１／４","53","59","2%","32","１／３","549","1619","2%","0","0","8","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"22","静岡県","16","4","4","１／５","653","737","1%","25%","0","0","１／５","63","63","0%","3","１／５","870","870","0%","9","1","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"23","愛知県","135","32","32","４／４","1605","1605","2%","24%","4","4","４／４","173","173","2%","24","４／４","1628","1691","1%","69","0","10","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"24","三重県","30","15","15","３／３","455","455","3%","50%","0","0","３／３","50","50","0%","5","３／３","375","375","1%","10","10","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"25","滋賀県","25","11","11","４／４","439","441","2%","44%","0","0","４／４","52","52","0%","9","４／４","677","677","1%","5","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"26","京都府","45","17","17","３／３","708","738","2%","38%","1","1","３／３","161","161","1%","14","３／３","1126","1126","1%","14","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"27","大阪府","467","133","133","１／５","2227","3443","4%","28%","42","42","１／５","925","1292","3%","64","３／６","3838","8408","1%","252","0","18","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"28","兵庫県","172","83","83","２／６","550","1357","6%","48%","3","3","２／６","80","142","2%","24","２／６","600","2011","1%","46","0","19","4","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"29","奈良県","40","19","19","２／３","352","473","4%","48%","0","0","２／３","32","34","0%","13","２／３","1136","1136","1%","0","0","8","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"30","和歌山県","4","4","4","３／３","581","581","1%","100%","0","0","３／３","26","26","0%","0","３／３","151","288","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"31","鳥取県","5","5","5","３／３","264","337","1%","100%","0","0","２／３","44","47","0%","0","１／１","277","364","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"32","島根県","47","45","45","２／５","210","324","14%","96%","1","1","２／５","5","25","4%","0","２／５","133","133","0%","1","0","1","1","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"33","岡山県","65","10","10","３／４","491","557","2%","15%","1","1","３／４","51","68","1%","20","３／４","507","507","4%","33","0","2","1","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"34","広島県","55","21","21","２／５","476","869","2%","38%","0","0","２／５","37","64","0%","20","２／５","824","2397","1%","12","0","2","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"35","山口県","37","29","29","２／４","237","533","5%","78%","0","0","２／４","10","47","0%","7","２／４","483","583","1%","1","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"36","徳島県","4","4","4","３／４","234","234","2%","100%","0","0","３／４","25","25","0%","0","３／４","400","400","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"37","香川県","1","0","0","１／３","146","238","0%","0%","0","0","１／３","17","30","0%","0","１／３","368","368","0%","1","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"38","愛媛県","47","20","20","１／３","132","244","8%","43%","0","0","１／３","5","19","0%","8","１／３","110","263","3%","19","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"39","高知県","9","7","7","２／５","146","238","3%","78%","1","1","２／５","16","58","2%","1","２／５","147","268","0%","0","0","1","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"40","福岡県","78","25","25","２／５","545","1482","2%","32%","6","6","２／５","91","203","3%","27","２／５","800","2106","1%","26","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"41","佐賀県","11","7","7","１／５","263","468","1%","64%","0","0","１／５","8","48","0%","4","１／４","515","515","1%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"42","長崎県","17","14","14","２／４","115","440","3%","82%","0","0","２／４","21","38","0%","2","２／４","513","535","0%","1","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"43","熊本県","6","3","3","１／２","543","642","0%","50%","1","1","１／２","51","56","2%","0","２／２","1000","1000","0%","3","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"44","大分県","2","2","2","１／４","496","496","0%","100%","0","0","１／４","43","43","0%","0","１／４","1019","1249","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"45","宮崎県","0","0","0","３／３","332","332","0%","－","0","0","３／３","33","33","0%","0","３／３","450","450","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"46","鹿児島県","1","1","1","２／４","210","477","0%","100%","0","0","２／４","8","34","0%","0","２／４","0","1330","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"47","沖縄県","104","11","11","３／５","221","632","2%","11%","1","1","３／５","60","60","2%","24","３／５","410","852","3%","44","0","25","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
