"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"33","岡山県","7","4","4","２／４","401","557","1%","57%","1","1","２／４","37","68","1%","1","１／３","256","507","0%","1","0","1","1","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"34","広島県","7","3","3","３／４","439","573","1%","43%","0","0","３／４","37","46","0%","0","３／４","1561","1561","0%","4","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"35","山口県","0","0","0","２／４","221","549","0%","－","0","0","２／４","10","47","0%","0","２／４","830","930","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"36","徳島県","0","0","0","１／５","98","260","0%","－","0","0","１／５","6","25","0%","0","１／５","170","450","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"37","香川県","0","0","0","１／３","148","264","0%","－","0","0","１／３","17","30","0%","0","１／２","368","424","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"38","愛媛県","1","1","1","１／３","132","261","0%","100%","0","0","１／３","5","19","0%","0","１／３","110","263","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"39","高知県","0","0","0","１／５","77","253","0%","－","0","0","１／５","16","24","0%","0","１／５","147","385","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"40","福岡県","48","14","14","１／５","335","1482","1%","29%","3","3","１／５","70","203","1%","19","１／４","455","2234","1%","15","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"41","佐賀県","0","0","0","１／５","248","468","0%","－","0","0","１／５","3","48","0%","0","１／４","515","515","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"42","長崎県","0","0","0","１／４","68","440","0%","－","0","0","１／４","17","38","0%","0","１／４","489","535","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"43","熊本県","0","0","0","１／２","558","669","0%","－","0","0","１／２","49","53","0%","0","１／２","1000","1000","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"44","大分県","0","0","0","１／４","361","506","0%","－","0","0","１／４","34","43","0%","0","１／４","444","1349","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"45","宮崎県","2","2","2","１／２","225","265","1%","100%","0","0","１／２","12","15","0%","0","１／３","50","450","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"46","鹿児島県","0","0","0","１／４","45","549","0%","－","0","0","１／４","1","33","0%","0","１／４","0","1757","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"47","沖縄県","27","10","10","１／５","114","641","2%","37%","0","0","１／５","16","60","0%","11","１／５","35","852","1%","6","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
