"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者受入確保病床","入院患者受入確保想定病床数","うち重症者数","重症患者受入確保病床数","重症患者受入確保想定病床数","宿泊療養者数","宿泊施設受入可能室数","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"34","広島県","22","22","553","500","0","72","70","0","295","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"35","山口県","58","58","423","423","1","102","102","0","638","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"36","徳島県","62","56","200","200","1","25","25","6","208","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"37","香川県","10","9","185","185","0","25","25","1","101","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"38","愛媛県","8","8","229","223","0","33","33","0","67","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"39","高知県","14","14","192","200","1","57","57","0","16","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"40","福岡県","866","272","490","760","16","60","110","191","1057","403","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"41","佐賀県","34","29","281","281","0","47","47","5","230","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"42","長崎県","40","28","395","395","1","27","42","6","224","6","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"43","熊本県","84","76","400","400","0","59","59","5","1430","3","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"44","大分県","40","26","330","330","0","41","41","14","700","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"45","宮崎県","72","46","246","246","1","33","33","25","250","1","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"46","鹿児島県","55","51","253","300","2","48","48","3","370","1","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"47","沖縄県","453","289","461","425","24","49","51","46","340","118","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
