"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"16","富山県","144","77","２／４","500","15%","500","6","２／４","36","17%","36","46","２／４","305","15%","100","6","15","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"17","石川県","286","224","２／２","355","63%","254","13","２／２","35","37%","35","47","１／２","340","14%","340","0","15","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"18","福井県","167","157","４／４","255","62%","255","3","４／４","24","13%","24","10","１／４","75","13%","75","0","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"19","山梨県","91","60","２／４","285","21%","250","1","２／４","24","4%","24","31","２／４","449","7%","100","0","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"20","長野県","349","217","３／４","434","50%","434","5","３／４","49","10%","49","74","３／４","715","10%","375","53","0","5","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"21","岐阜県","391","231","３／３","739","31%","739","4","３／３","59","7%","59","102","３／３","541","19%","541","0","0","58","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"22","静岡県","228","90","４／４","511","18%","450","2","４／４","40","5%","67","53","４／４","592","9%","450","85","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"23","愛知県","2879","469","４／４","1215","39%","839","29","４／４","126","23%","121","308","４／４","1300","24%","1300","1821","0","281","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"24","三重県","542","208","３／３","392","53%","392","11","３／３","53","21%","53","39","３／３","100","39%","100","295","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"25","滋賀県","454","230","３／３","351","66%","350","14","３／３","49","29%","62","171","３／３","400","43%","400","47","0","6","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"26","京都府","1400","279","３／３","469","59%","453","27","３／３","86","31%","86","218","３／３","826","26%","826","903","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"27","大阪府","17689","1860","４／４","2297","81%","2297","408","４／４","570","72%","221","1794","３／３","3475","52%","3475","11037","0","2998","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"28","兵庫県","4706","732","６／６","935","78%","750","93","６／６","118","79%","120","469","６／６","1165","40%","1000","1417","0","2088","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"29","奈良県","999","288","３／３","389","74%","389","21","３／３","32","66%","32","231","３／３","406","57%","406","0","0","480","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"30","和歌山県","315","315","４／４","400","79%","400","5","４／４","40","13%","40","0","４／４","137","0%","137","0","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"31","鳥取県","65","48","２／３","313","15%","300","0","２／３","47","0%","40","17","１／３","340","5%","150","0","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"32","島根県","41","41","２／５","253","16%","253","0","２／５","25","0%","25","0","２／５","98","0%","98","0","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"33","岡山県","576","221","４／４","412","54%","250","15","４／４","43","35%","40","144","４／４","207","70%","180","201","10","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"34","広島県","280","112","２／３","462","24%","500","2","２／３","48","4%","70","150","２／３","1400","11%","1400","15","3","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"35","山口県","240","198","３／３","520","38%","520","1","３／３","47","2%","137","42","１／３","1044","4%","1044","0","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"36","徳島県","344","161","３／４","256","63%","230","7","３／４","25","28%","25","183","３／４","226","81%","226","0","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"37","香川県","158","81","３／３","209","39%","209","2","３／３","26","8%","26","50","３／３","101","50%","101","0","0","27","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"38","愛媛県","401","107","３／３","270","40%","223","12","３／３","33","36%","33","51","３／３","192","27%","117","208","28","7","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"39","高知県","58","29","２／４","200","15%","200","4","２／４","58","7%","57","25","２／４","203","12%","190","4","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"40","福岡県","2385","399","３／３","858","47%","760","22","３／３","113","19%","110","789","３／３","1538","51%","1200","1139","58","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"41","佐賀県","205","112","３／５","355","32%","355","4","３／５","47","9%","47","93","１／４","377","25%","377","0","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"42","長崎県","287","127","４／４","424","30%","421","1","４／４","38","3%","42","81","４／４","384","21%","384","79","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"43","熊本県","419","203","３／３","505","40%","420","9","３／３","59","15%","59","126","３／３","440","29%","140","90","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"44","大分県","464","144","２／４","367","39%","367","1","２／４","43","2%","43","155","２／２","700","22%","170","124","0","41","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"45","宮崎県","135","36","２／３","281","13%","281","1","２／３","33","3%","33","52","２／３","250","21%","250","15","32","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"46","鹿児島県","96","54","３／４","376","14%","300","0","３／４","42","0%","48","41","３／４","577","7%","370","1","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"47","沖縄県","1126","392","５／５","536","73%","425","38","５／５","63","60%","51","138","５／５","413","33%","340","422","0","174","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
