"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"16","富山県","271","128","３／４","500","26%","500","6","３／４","36","17%","36","72","３／４","305","24%","100","40","31","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"17","石川県","518","216","２／２","373","58%","254","16","２／２","35","46%","35","117","２／２","340","34%","340","96","23","66","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"18","福井県","48","48","２／４","255","19%","255","1","２／４","24","4%","24","0","１／４","75","0%","75","0","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"19","山梨県","109","70","３／４","285","25%","250","1","３／４","24","4%","24","39","３／４","449","9%","100","0","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"20","長野県","350","233","３／４","434","54%","434","9","３／４","49","18%","49","77","３／４","715","11%","375","40","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"21","岐阜県","882","524","３／３","781","67%","781","24","３／３","59","41%","59","243","３／３","957","25%","957","0","0","115","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"22","静岡県","690","177","４／４","544","33%","450","5","４／４","54","9%","67","127","４／４","592","21%","450","386","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"23","愛知県","6066","1043","４／４","1515","69%","839","90","４／４","146","62%","121","346","４／４","1300","27%","1300","4260","0","417","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"24","三重県","388","151","３／３","437","35%","437","13","３／３","61","21%","61","37","３／３","145","26%","145","200","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"25","滋賀県","448","249","３／３","370","67%","350","10","３／３","52","19%","50","127","３／３","400","32%","400","67","2","3","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"26","京都府","1322","274","３／３","469","58%","469","32","３／３","86","37%","86","249","３／３","826","30%","826","799","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"27","大阪府","10957","1776","４／４","2670","67%","2670","413","４／４","785","53%","221","834","３／３","3986","21%","3986","5783","0","2564","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"28","兵庫県","2871","723","６／６","1030","70%","1200","91","６／６","124","73%","130","291","６／６","1475","20%","1500","723","0","1134","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"29","奈良県","465","238","３／３","430","55%","430","22","３／３","32","69%","32","156","３／３","711","22%","711","0","0","71","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"30","和歌山県","133","133","４／４","470","28%","400","5","４／４","26","19%","40","0","４／４","137","0%","137","0","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"31","鳥取県","40","40","２／３","313","13%","300","0","２／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"32","島根県","96","96","３／５","253","38%","253","4","３／５","25","16%","25","0","３／５","98","0%","98","0","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"33","岡山県","1014","314","４／４","482","65%","250","33","４／４","55","60%","40","169","４／４","404","42%","180","522","6","3","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"34","広島県","2014","465","３／３","709","66%","500","24","３／３","60","40%","70","627","３／３","1400","45%","1400","185","9","728","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"35","山口県","566","375","３／３","520","72%","520","8","３／３","47","17%","137","127","３／３","1044","12%","1044","34","30","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"36","徳島県","78","72","３／４","234","31%","230","2","３／４","25","8%","25","6","３／４","276","2%","276","0","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"37","香川県","197","114","３／３","215","53%","215","5","３／３","26","19%","26","31","３／３","201","15%","201","0","0","52","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"38","愛媛県","95","46","３／３","270","17%","223","4","３／３","33","12%","33","18","３／３","233","8%","117","24","4","3","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"39","高知県","178","86","４／４","200","43%","200","4","４／４","58","7%","57","65","４／４","203","32%","190","0","0","27","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"40","福岡県","4774","948","３／３","1298","73%","760","80","３／３","172","47%","110","902","３／３","1891","48%","1200","2799","125","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"41","佐賀県","207","136","４／５","356","38%","356","6","４／５","47","13%","47","71","３／４","377","19%","377","0","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"42","長崎県","208","154","４／４","424","36%","421","6","４／４","38","16%","42","29","４／４","384","8%","384","25","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"43","熊本県","727","314","３／３","505","62%","420","23","３／３","59","39%","59","119","３／３","440","27%","140","294","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"44","大分県","509","207","３／４","438","47%","438","6","３／４","43","14%","43","130","２／２","784","17%","170","129","5","38","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"45","宮崎県","188","79","２／３","281","28%","281","2","２／３","33","6%","33","53","２／３","250","21%","250","56","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"46","鹿児島県","347","204","４／４","397","51%","300","2","４／４","44","5%","48","136","４／４","762","18%","370","7","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"47","沖縄県","1910","441","５／５","585","75%","425","64","５／５","65","98%","51","202","５／５","413","49%","340","637","0","630","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
