"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"25","滋賀県","660","206","206","４／４","388","390","53%","31%","8","8","４／４","52","52","15%","152","４／４","677","677","22%","294","0","8","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"26","京都府","4121","353","353","３／３","708","738","48%","9%","74","74","３／３","161","161","46%","367","３／３","1126","1126","33%","3394","0","7","7","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"27","大阪府","15603","2017","2017","５／５","3149","3335","60%","13%","531","531","４／５","1087","1273","42%","2742","６／６","7091","7091","39%","9997","0","847","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"28","兵庫県","4553","761","761","６／６","1357","1357","56%","17%","66","66","６／６","142","142","46%","705","６／６","1863","1863","38%","2712","0","375","219","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"29","奈良県","805","249","249","３／３","468","468","53%","31%","17","17","３／３","34","34","50%","262","３／３","792","792","33%","0","0","294","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"30","和歌山県","151","151","151","３／３","605","605","25%","100%","4","4","３／３","26","26","15%","0","３／３","151","288","0%","0","0","0","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"31","鳥取県","114","73","73","３／３","310","337","22%","64%","5","5","２／３","44","47","11%","13","１／１","364","364","4%","17","0","11","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"32","島根県","93","62","62","５／５","276","324","19%","67%","1","1","５／５","5","25","4%","13","５／５","133","133","10%","14","0","4","1","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"33","岡山県","616","187","187","４／４","557","557","34%","30%","13","13","４／４","68","68","19%","161","４／４","507","507","32%","267","2","1","1","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"34","広島県","1153","242","235","５／５","836","871","27%","21%","13","13","５／５","63","69","19%","405","５／５","2270","2397","17%","445","1","61","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"35","山口県","234","134","129","４／４","558","633","20%","57%","1","1","４／４","47","47","2%","53","４／４","583","1144","5%","35","0","12","5","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"36","徳島県","237","100","100","３／４","234","234","43%","42%","3","3","３／４","25","25","12%","74","３／４","400","400","19%","63","0","0","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"37","香川県","139","60","59","３／３","238","238","25%","43%","4","4","３／３","30","30","13%","40","３／３","368","368","11%","13","0","26","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"38","愛媛県","195","52","52","３／３","278","278","19%","27%","6","6","３／３","26","26","23%","46","３／３","263","263","17%","91","0","6","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"39","高知県","245","65","65","５／５","236","236","28%","27%","6","6","５／５","24","58","10%","78","５／５","268","268","29%","95","0","7","2","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"40","福岡県","6011","734","715","５／５","1475","1475","48%","12%","29","29","５／５","203","203","14%","755","５／５","2106","2106","36%","3988","0","534","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"41","佐賀県","184","87","87","４／５","410","434","20%","47%","1","1","２／５","11","48","2%","81","３／４","495","495","16%","16","0","0","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"42","長崎県","289","96","96","４／４","376","440","22%","33%","2","2","４／４","38","38","5%","73","４／４","535","535","14%","114","0","6","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"43","熊本県","641","218","218","２／２","736","736","30%","34%","14","14","２／２","71","71","20%","118","２／２","789","789","15%","250","0","55","31","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"44","大分県","310","133","133","３／４","460","460","29%","43%","4","4","３／４","43","43","9%","131","３／４","1019","1249","10%","40","0","6","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"45","宮崎県","305","84","84","３／３","327","327","26%","28%","8","8","３／３","33","33","24%","42","３／３","450","450","9%","151","0","28","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"46","鹿児島県","439","238","184","４／４","622","622","30%","54%","7","6","４／４","39","39","15%","156","４／４","1261","1261","12%","0","0","45","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
"47","沖縄県","4479","515","515","５／５","693","863","60%","11%","82","82","５／５","140","140","59%","296","５／５","702","1412","21%","1945","0","1723","0","2021-09-15","https://www.mhlw.go.jp/content/10900000/000834030.xlsx"
