"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"14","神奈川県","1218","339","２／４","1555","22%","1555","27","２／４","190","14%","190","244","２／２","1282","19%","1000","625","10","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"15","新潟県","275","189","２／３","555","34%","555","2","２／３","112","2%","112","53","２／３","222","24%","222","33","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"16","富山県","106","57","２／４","500","11%","500","3","２／４","36","8%","36","49","２／４","305","16%","100","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"17","石川県","143","118","２／２","258","46%","254","6","２／２","35","17%","35","25","２／２","340","7%","340","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"18","福井県","72","72","３／４","255","28%","255","1","３／４","24","4%","24","0","１／４","75","0%","75","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"19","山梨県","45","31","２／４","285","11%","250","1","２／４","24","4%","24","14","２／４","449","3%","100","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"20","長野県","323","178","３／４","434","41%","434","0","３／４","49","0%","49","84","４／４","715","12%","375","52","0","9","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"21","岐阜県","170","108","２／３","694","16%","694","3","２／３","59","5%","59","40","２／３","541","7%","541","0","0","22","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"22","静岡県","209","78","４／４","487","16%","450","4","４／４","40","10%","67","45","４／４","592","8%","450","86","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"23","愛知県","1538","304","４／４","1215","25%","839","7","４／４","126","6%","121","270","４／４","1300","21%","1300","796","0","168","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"24","三重県","233","163","３／３","392","42%","392","7","３／３","53","13%","53","21","３／３","100","21%","100","49","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"25","滋賀県","211","130","２／３","351","37%","350","5","２／３","49","10%","62","66","２／３","350","19%","350","13","0","2","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"26","京都府","658","208","３／３","453","46%","453","19","３／３","86","22%","86","160","３／３","826","19%","826","290","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"27","大阪府","9522","1338","４／４","2005","67%","2021","302","４／４","464","65%","221","790","３／３","2416","33%","2416","5404","0","1990","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"28","兵庫県","2773","620","６／６","839","74%","750","77","６／６","116","66%","120","465","６／６","1015","46%","1000","629","0","1059","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"29","奈良県","728","257","３／３","376","68%","376","11","３／３","30","37%","30","152","３／３","236","64%","236","0","0","319","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"30","和歌山県","257","257","３／４","400","64%","400","4","３／４","40","10%","40","0","３／４","137","0%","137","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"31","鳥取県","83","73","２／３","313","23%","300","0","２／３","47","0%","40","10","１／３","340","3%","150","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"32","島根県","7","7","１／５","253","3%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"33","岡山県","246","91","２／４","412","22%","250","4","２／４","43","9%","40","137","２／４","207","66%","180","18","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"34","広島県","97","47","１／３","485","10%","500","0","１／３","48","0%","70","42","１／３","1400","3%","1400","6","2","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"35","山口県","43","41","２／３","480","9%","480","0","２／３","124","0%","137","2","１／３","834","0%","834","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"36","徳島県","193","132","２／４","200","66%","200","3","２／４","25","12%","25","61","２／４","210","29%","210","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"37","香川県","125","69","３／３","209","33%","209","2","３／３","26","8%","26","42","３／３","101","42%","101","0","0","14","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"38","愛媛県","288","86","３／３","270","32%","223","9","３／３","33","27%","33","32","３／３","192","17%","117","162","0","8","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"39","高知県","18","11","２／４","200","6%","200","1","２／４","58","2%","57","6","２／４","203","3%","190","1","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"40","福岡県","526","177","３／３","770","23%","760","7","３／３","111","6%","110","207","３／３","1387","15%","1200","134","8","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"41","佐賀県","75","28","３／４","328","9%","328","11","３／４","46","24%","46","37","１／４","377","10%","377","0","0","10","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"42","長崎県","46","20","２／４","424","5%","421","0","２／４","38","0%","42","11","２／４","384","3%","384","15","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"43","熊本県","41","34","１／３","505","7%","420","3","１／３","59","5%","59","5","１／３","440","1%","140","2","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"44","大分県","36","27","１／４","367","7%","367","1","１／４","43","2%","43","9","１／２","700","1%","170","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"45","宮崎県","65","21","１／３","281","7%","281","0","１／３","33","0%","33","24","１／３","250","10%","250","20","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"46","鹿児島県","69","38","３／４","376","10%","300","0","３／４","42","0%","48","28","３／４","577","5%","370","3","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"47","沖縄県","1149","429","５／５","507","85%","425","29","５／５","63","46%","51","139","５／５","413","34%","340","557","0","24","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
