"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"14","神奈川県","13698","1297","1297","４／４","1674","1790","72%","9%","172","172","４／４","194","199","86%","585","１／１","1906","1906","31%","11365","26","451","2","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"15","新潟県","697","189","189","２／３","555","555","34%","27%","6","6","２／３","112","112","5%","46","２／３","300","300","15%","439","0","23","23","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"16","富山県","364","190","190","３／４","442","500","38%","52%","8","8","３／４","36","36","22%","144","３／４","250","250","58%","30","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"17","石川県","763","211","211","３／３","363","435","49%","28%","12","12","３／３","37","39","31%","118","３／３","560","560","21%","277","0","157","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"18","福井県","277","203","203","５／５","300","304","67%","73%","1","1","５／５","24","24","4%","74","５／５","146","146","51%","0","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"19","山梨県","457","171","171","４／４","305","305","56%","37%","1","1","４／４","24","24","4%","286","４／４","449","449","64%","0","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"20","長野県","432","171","171","２／３","342","490","35%","40%","0","0","２／３","34","42","0%","173","２／３","523","523","33%","86","0","2","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"21","岐阜県","450","221","221","３／３","783","783","28%","49%","4","4","３／３","59","59","7%","162","３／３","721","1045","16%","0","0","67","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"22","静岡県","1631","234","234","４／５","597","608","38%","14%","8","8","４／５","57","58","14%","372","４／５","735","735","51%","745","0","280","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"23","愛知県","3372","482","451","４／４","1570","1570","29%","14%","16","16","４／４","170","170","9%","416","４／４","1109","1300","32%","2211","0","263","4","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"24","三重県","756","212","212","３／３","436","436","49%","28%","10","10","３／３","50","50","20%","90","３／３","240","240","38%","454","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"25","滋賀県","869","309","309","４／４","374","376","82%","36%","7","7","４／４","52","52","13%","355","４／４","677","677","52%","154","0","51","10","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"26","京都府","2518","359","359","３／３","511","511","70%","14%","78","78","３／３","126","126","62%","288","３／３","826","826","35%","1865","0","6","6","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"27","大阪府","10926","1904","1904","５／５","2609","3121","61%","17%","414","414","３／５","904","1179","35%","2406","４／５","4076","4076","59%","6137","0","479","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"28","兵庫県","3306","624","624","４／６","900","1237","50%","19%","37","37","４／６","110","142","26%","673","６／６","1475","1475","46%","1579","0","430","225","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"29","奈良県","847","266","266","２／３","412","448","59%","31%","12","12","２／３","34","34","35%","369","２／３","711","711","52%","0","0","212","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"30","和歌山県","218","218","218","２／３","440","470","46%","100%","2","2","２／３","26","26","8%","0","２／３","0","137","0%","0","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"31","鳥取県","302","121","121","３／３","286","328","37%","40%","0","0","２／３","44","47","0%","36","１／１","271","271","13%","114","0","31","31","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"32","島根県","100","96","96","３／５","214","324","30%","96%","1","1","３／５","5","25","4%","4","３／５","133","133","3%","0","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"33","岡山県","863","184","184","４／４","557","557","33%","21%","7","7","４／４","68","68","10%","185","４／４","404","404","46%","439","0","55","8","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"34","広島県","762","213","213","４／５","683","827","26%","28%","4","4","４／５","58","69","6%","422","４／４","1685","1748","24%","108","0","19","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"35","山口県","224","167","167","４／４","533","533","31%","75%","1","1","４／４","47","47","2%","36","４／４","483","483","7%","7","0","14","5","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"36","徳島県","87","72","72","３／４","234","234","31%","83%","1","1","３／４","25","25","4%","15","３／４","276","276","5%","0","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"37","香川県","402","113","105","３／３","234","234","45%","28%","2","2","３／３","28","28","7%","107","３／３","212","212","50%","18","0","164","164","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"38","愛媛県","383","82","82","３／３","253","253","32%","21%","5","5","３／３","26","26","19%","108","３／３","263","263","41%","155","0","38","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"39","高知県","117","44","44","５／５","226","226","19%","38%","8","8","５／５","24","58","14%","59","５／５","221","221","27%","0","0","14","3","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"40","福岡県","6492","677","674","５／５","1413","1413","48%","10%","16","16","５／５","201","201","8%","1401","５／５","2106","2106","67%","4251","0","163","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"41","佐賀県","267","113","113","４／５","350","377","30%","42%","0","0","１／５","8","48","0%","154","４／４","472","472","33%","0","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"42","長崎県","409","122","122","４／４","378","428","29%","30%","1","1","４／４","38","38","3%","149","４／４","433","433","34%","138","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"43","熊本県","987","247","247","２／２","605","605","41%","25%","7","7","２／２","56","56","13%","274","２／２","680","680","40%","310","0","156","59","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"44","大分県","377","152","152","２／４","439","439","35%","40%","0","0","２／４","43","43","0%","142","２／４","265","1014","14%","22","0","61","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"45","宮崎県","309","47","47","２／３","267","307","15%","15%","1","1","２／３","21","33","3%","113","２／３","150","450","25%","90","0","59","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"46","鹿児島県","583","230","223","４／４","425","425","52%","39%","0","0","４／４","41","41","0%","292","４／４","804","804","36%","0","0","61","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"47","沖縄県","4717","741","638","５／５","794","794","80%","16%","81","81","５／５","111","111","73%","264","５／５","602","1412","19%","2100","0","1612","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
