"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"29","奈良県","1361","306","306","３／３","456","456","67%","22%","20","20","３／３","34","34","59%","449","３／３","711","711","63%","0","0","606","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"30","和歌山県","357","357","357","３／３","605","605","59%","100%","4","4","３／３","26","26","15%","0","３／３","151","288","0%","0","0","0","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"31","鳥取県","195","100","100","３／３","310","337","30%","51%","2","2","２／３","44","47","4%","50","１／１","364","364","14%","42","0","3","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"32","島根県","202","97","97","５／５","265","324","30%","48%","2","2","５／５","5","25","8%","35","５／５","133","133","26%","46","0","24","3","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"33","岡山県","1174","217","215","４／４","557","557","39%","18%","17","17","４／４","68","68","25%","209","４／４","507","507","41%","735","6","13","4","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"34","広島県","2233","424","415","５／５","806","871","48%","19%","19","19","５／５","63","69","28%","707","５／５","2270","2397","29%","915","1","187","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"35","山口県","514","284","256","４／４","558","633","40%","55%","5","5","４／４","47","47","11%","114","４／４","583","1144","10%","54","0","62","39","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"36","徳島県","314","113","113","３／４","234","234","48%","36%","6","6","３／４","25","25","24%","110","３／４","400","400","28%","91","0","0","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"37","香川県","349","95","89","３／３","238","238","37%","27%","7","7","３／３","30","30","23%","63","３／３","360","360","18%","132","0","59","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"38","愛媛県","281","67","67","３／３","253","253","26%","24%","5","5","３／３","26","26","19%","42","３／３","263","263","16%","166","0","6","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"39","高知県","508","90","90","５／５","234","234","38%","18%","10","10","５／５","24","58","17%","112","５／５","237","277","40%","284","0","22","10","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"40","福岡県","8739","888","874","５／５","1475","1475","59%","10%","36","36","５／５","203","203","18%","1064","５／５","2106","2106","51%","6201","0","586","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"41","佐賀県","439","167","167","４／５","423","434","38%","38%","2","2","４／５","42","48","4%","182","４／４","472","495","37%","90","0","0","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"42","長崎県","555","151","151","４／４","394","532","28%","27%","1","1","４／４","38","42","2%","80","４／４","433","433","18%","301","0","23","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"43","熊本県","1380","310","310","２／２","736","736","42%","22%","19","19","２／２","71","71","27%","283","２／２","789","809","35%","698","0","89","55","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"44","大分県","652","217","217","３／４","460","460","47%","33%","4","4","３／４","43","43","9%","281","３／４","984","1249","22%","143","0","11","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"45","宮崎県","630","143","143","３／３","327","327","44%","23%","10","10","３／３","33","33","30%","86","３／３","450","450","19%","345","6","56","4","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"46","鹿児島県","686","317","273","４／４","622","622","44%","46%","5","5","４／４","39","39","13%","240","４／４","1209","1209","20%","0","0","129","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"47","沖縄県","5616","1056","687","５／５","840","844","81%","19%","130","130","５／５","147","147","88%","355","５／５","702","1412","25%","2522","0","1683","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
