"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"11","埼玉県","2544","758","４／４","1597","47%","1597","53","４／４","160","33%","200","314","３／３","1436","22%","1450","1286","0","186","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"12","千葉県","1365","449","４／４","1361","33%","1200","21","４／４","94","22%","180","339","４／４","968","35%","1400","530","0","47","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"13","東京都","6353","2421","４／４","5594","43%","6044","529","４／４","1207","44%","500","1176","４／４","3050","39%","3000","1929","7","820","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"14","神奈川県","2308","577","３／４","1790","32%","1790","63","３／４","199","32%","199","450","２／２","1656","27%","1000","1280","1","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"15","新潟県","395","230","２／３","555","41%","555","5","２／３","112","4%","112","35","２／３","222","16%","222","130","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"16","富山県","175","106","３／４","500","21%","500","5","３／４","36","14%","36","61","３／４","305","20%","100","8","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"17","石川県","578","278","２／２","373","75%","254","10","２／２","35","29%","35","125","２／２","340","37%","340","95","18","62","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"18","福井県","57","56","３／４","255","22%","255","0","３／４","24","0%","24","1","１／４","75","1%","75","0","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"19","山梨県","122","88","３／４","285","31%","250","0","３／４","24","0%","24","34","３／４","449","8%","100","0","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"20","長野県","332","191","３／４","434","44%","434","6","３／４","49","12%","49","98","３／４","715","14%","375","41","0","2","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"21","岐阜県","1139","529","３／３","739","72%","739","20","３／３","59","34%","59","375","３／３","859","44%","859","0","0","235","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"22","静岡県","767","186","４／４","540","34%","450","9","４／４","54","17%","67","202","４／４","592","34%","450","379","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"23","愛知県","5845","949","４／４","1515","63%","839","70","４／４","146","48%","121","262","４／４","1300","20%","1300","4095","0","539","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"24","三重県","600","191","３／３","437","44%","437","12","３／３","61","20%","61","68","３／３","145","47%","145","341","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"25","滋賀県","546","265","３／３","370","72%","350","10","３／３","50","20%","50","161","３／３","400","40%","400","109","2","9","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"26","京都府","1536","307","３／３","469","65%","469","37","３／３","86","43%","86","268","３／３","826","32%","826","961","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"27","大阪府","15136","1985","４／４","2657","75%","2657","471","４／４","748","63%","221","1275","３／３","3680","35%","3680","9309","0","2567","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"28","兵庫県","3688","800","６／６","1030","78%","1200","93","６／６","124","75%","130","313","６／６","1325","24%","1500","1051","0","1524","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"29","奈良県","743","295","３／３","406","73%","406","23","３／３","32","72%","32","250","３／３","566","44%","566","0","0","198","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"30","和歌山県","156","156","４／４","470","33%","400","6","４／４","26","23%","40","0","４／４","137","0%","137","0","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"31","鳥取県","52","47","２／３","313","15%","300","0","２／３","47","0%","40","5","１／３","340","1%","150","0","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"32","島根県","78","78","３／５","253","31%","253","3","３／５","25","12%","25","0","３／５","98","0%","98","0","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"33","岡山県","1386","348","４／４","412","84%","250","30","４／４","43","70%","40","224","４／４","404","55%","180","800","14","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"34","広島県","2095","361","３／３","482","75%","500","16","３／３","48","33%","70","497","３／３","1400","36%","1400","258","5","974","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"35","山口県","571","388","３／３","520","75%","520","8","３／３","47","17%","137","173","３／３","1044","17%","1044","10","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"36","徳島県","142","119","３／４","246","48%","230","3","３／４","25","12%","25","23","３／４","276","8%","276","0","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"37","香川県","357","135","３／３","215","63%","215","4","３／３","26","15%","26","55","３／３","201","27%","201","0","0","167","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"38","愛媛県","150","58","３／３","270","21%","223","5","３／３","33","15%","33","21","３／３","233","9%","117","59","10","2","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"39","高知県","76","44","３／４","200","22%","200","2","３／４","58","3%","57","27","３／４","203","13%","190","5","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"40","福岡県","5835","918","３／３","1206","76%","760","81","３／３","158","51%","110","927","３／３","1734","53%","1200","3850","140","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"41","佐賀県","306","172","４／５","356","48%","356","8","４／５","47","17%","47","134","４／４","377","36%","377","0","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"42","長崎県","427","256","４／４","424","60%","421","16","４／４","38","42%","42","79","４／４","384","21%","384","92","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"43","熊本県","879","282","３／３","505","56%","420","22","３／３","59","37%","59","178","３／３","440","40%","140","419","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"44","大分県","661","212","３／４","432","49%","432","6","３／４","43","14%","43","214","２／２","784","27%","170","184","0","51","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"45","宮崎県","354","83","２／３","281","30%","281","5","２／３","33","15%","33","92","２／３","250","37%","250","179","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"46","鹿児島県","432","216","４／４","378","57%","300","3","４／４","44","7%","48","203","４／４","587","35%","370","13","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"47","沖縄県","1533","444","５／５","555","80%","425","48","５／５","65","74%","51","187","５／５","413","45%","340","589","0","313","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
