"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"11","埼玉県","3892","970","４／４","1321","73%","1400","71","４／４","141","50%","200","298","３／３","1347","22%","1450","2377","0","247","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"12","千葉県","5468","728","４／４","1093","67%","1200","46","４／４","88","52%","180","290","４／４","968","30%","1400","4234","0","216","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"13","東京都","9854","2924","４／４","4900","60%","4000","注8　537","４／４","注8　500","107%","500","607","４／４","3060","20%","3000","3123","173","3027","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"14","神奈川県","2644","879","２／３","1555","57%","1555","104","２／３","190","55%","190","237","２／２","1535","15%","1000","1528","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"15","新潟県","104","83","２／３","456","18%","456","2","２／３","112","2%","112","19","１／３","176","11%","176","2","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"16","富山県","37","36","２／４","500","7%","500","2","２／４","36","6%","36","1","２／４","377","0%","100","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"17","石川県","78","67","２／２","258","26%","254","3","２／２","35","9%","35","11","２／２","340","3%","340","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"18","福井県","67","64","３／４","255","25%","255","4","３／４","24","17%","24","1","１／４","75","1%","75","2","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"19","山梨県","25","21","３／４","285","7%","250","3","３／４","24","13%","24","4","３／４","139","3%","100","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"20","長野県","151","99","４／４","434","23%","434","1","４／４","49","2%","49","21","４／４","375","6%","375","30","0","1","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"21","岐阜県","422","301","３／３","694","43%","694","11","３／３","59","19%","59","68","３／３","603","11%","603","0","8","45","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"22","静岡県","422","149","４／４","453","33%","450","3","４／４","41","7%","67","45","４／４","592","8%","450","228","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"23","愛知県","2235","699","４／４","1102","63%","839","60","４／４","125","48%","121","201","４／４","1300","15%","1300","1234","0","101","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"24","三重県","356","220","３／３","373","59%","373","10","３／３","53","19%","53","25","３／３","100","25%","100","111","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"25","滋賀県","227","145","３／３","349","42%","349","11","３／３","47","23%","62","65","３／３","403","16%","420","17","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"26","京都府","1119","240","３／３","416","58%","416","31","３／３","86","36%","86","88","３／３","826","11%","826","791","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"27","大阪府","4456","1172","４／４","1926","61%","1615","258","４／４","422","61%","215","654","３／３","2416","27%","1036","1646","0","984","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"28","兵庫県","1644","539","６／６","839","64%","750","65","６／６","116","56%","120","355","６／６","988","36%","1000","0","0","750","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"29","奈良県","292","174","３／３","368","47%","500","5","３／３","27","19%","25","71","３／３","254","28%","250","0","0","47","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"30","和歌山県","100","100","３／４","400","25%","400","2","３／４","40","5%","40","0","３／４","137","0%","137","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"31","鳥取県","23","21","２／３","313","7%","300","0","２／３","47","0%","40","2","１／３","340","1%","150","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"32","島根県","24","24","２／５","253","9%","253","0","２／５","25","0%","25","0","２／５","98","0%","98","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"33","岡山県","143","77","２／４","401","19%","250","5","２／４","37","14%","40","29","２／４","207","14%","180","31","6","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"34","広島県","296","164","３／３","477","34%","500","11","３／３","36","31%","70","108","３／３","1038","10%","1400","18","6","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"35","山口県","277","154","３／３","475","32%","475","0","３／３","124","0%","137","123","１／３","834","15%","834","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"36","徳島県","43","37","２／４","200","19%","200","3","２／４","25","12%","25","6","２／４","180","3%","180","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"37","香川県","160","61","３／３","199","31%","199","1","３／３","26","4%","26","33","３／３","101","33%","101","0","54","12","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"38","愛媛県","89","43","３／３","270","16%","223","3","３／３","33","9%","33","9","３／３","192","5%","117","16","21","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"39","高知県","33","20","４／４","200","10%","200","4","４／４","58","7%","57","12","４／４","203","6%","190","1","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"40","福岡県","1924","618","３／３","691","89%","760","40","３／３","110","36%","110","412","３／３","1387","30%","1200","894","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"41","佐賀県","74","52","４／４","328","16%","328","2","４／４","46","4%","46","20","１／４","377","5%","377","0","0","2","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"42","長崎県","223","126","４／４","421","30%","421","3","４／４","38","8%","42","33","４／４","384","9%","384","64","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"43","熊本県","242","175","３／３","440","40%","420","18","３／３","59","31%","59","21","３／３","230","9%","140","46","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"44","大分県","141","92","２／４","365","25%","365","2","２／４","43","5%","43","40","１／２","700","6%","170","9","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"45","宮崎県","180","70","３／３","246","28%","246","5","３／３","33","15%","33","61","３／３","250","24%","250","49","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"46","鹿児島県","152","99","３／４","352","28%","300","2","３／４","38","5%","48","50","３／４","577","9%","370","3","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"47","沖縄県","675","383","５／５","469","82%","425","34","５／５","53","64%","51","117","５／５","370","32%","340","148","27","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
