"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"34","広島県","64","21","21","２／５","474","869","2%","33%","0","0","２／５","37","64","0%","23","２／５","824","2397","1%","19","0","1","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"35","山口県","27","19","19","２／４","237","533","4%","70%","0","0","２／４","10","47","0%","7","２／４","483","583","1%","1","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"36","徳島県","3","3","3","３／４","234","234","1%","100%","0","0","３／４","25","25","0%","0","３／４","400","400","0%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"37","香川県","7","3","3","１／３","146","238","1%","43%","0","0","１／３","17","30","0%","0","１／３","368","368","0%","4","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"38","愛媛県","49","23","23","３／３","244","244","9%","47%","0","0","３／３","19","19","0%","6","３／３","263","263","2%","20","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"39","高知県","16","6","6","２／５","146","238","3%","38%","0","0","２／５","16","58","0%","8","２／５","147","268","3%","0","0","2","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"40","福岡県","98","38","38","２／５","550","1482","3%","39%","7","7","２／５","92","203","3%","17","２／５","800","2106","1%","43","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"41","佐賀県","36","20","20","１／５","263","468","4%","56%","0","0","１／５","8","48","0%","16","１／４","515","515","3%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"42","長崎県","27","9","9","２／４","115","440","2%","33%","0","0","２／４","21","38","0%","8","２／４","513","535","1%","8","0","2","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"43","熊本県","18","11","11","２／２","642","642","2%","61%","2","2","２／２","56","56","4%","1","２／２","1000","1000","0%","2","0","4","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"44","大分県","7","4","0","１／４","495","495","0%","57%","0","0","１／４","43","43","0%","3","１／４","1019","1249","0%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"45","宮崎県","6","6","6","３／３","332","332","2%","100%","0","0","３／３","33","33","0%","0","３／３","450","450","0%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"46","鹿児島県","4","0","0","２／４","205","475","0%","0%","0","0","２／４","8","34","0%","0","２／４","0","1330","0%","0","0","4","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"47","沖縄県","157","32","32","３／５","232","534","6%","20%","5","5","３／５","63","63","8%","40","３／５","410","852","5%","62","0","23","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
