"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"14","神奈川県","18524","1693","1693","４／４","2070","2192","77%","9%","245","245","４／４","280","296","83%","671","１／１","2024","2024","33%","15222","19","938","5","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"15","新潟県","931","220","220","２／３","555","555","40%","24%","3","3","２／３","112","112","3%","58","２／３","300","300","19%","642","0","11","11","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"16","富山県","1094","258","258","３／４","442","500","52%","24%","10","10","３／４","36","36","28%","116","３／４","250","250","46%","720","12","0","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"17","石川県","740","217","217","３／３","413","435","50%","29%","8","8","３／３","39","39","21%","141","３／３","560","560","25%","222","0","160","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"18","福井県","266","196","196","５／５","304","304","64%","74%","1","1","５／５","24","24","4%","70","５／５","146","146","48%","0","0","0","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"19","山梨県","716","242","242","４／４","367","367","66%","34%","3","3","４／４","24","24","13%","474","４／４","536","536","88%","0","0","0","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"20","長野県","1032","227","227","３／３","490","490","46%","22%","6","6","３／３","42","42","14%","268","３／３","523","523","51%","333","0","204","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"21","岐阜県","2510","477","477","３／３","783","783","61%","19%","4","4","３／３","59","59","7%","975","３／３","1045","1045","93%","339","0","719","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"22","静岡県","5004","399","399","５／５","669","669","60%","8%","28","28","５／５","57","57","49%","265","５／５","735","735","36%","3126","14","1214","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"23","愛知県","12089","745","719","４／４","1570","1570","46%","6%","40","40","４／４","170","170","24%","380","４／４","1371","1434","26%","9344","1","1620","3","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"24","三重県","3502","278","278","３／３","467","492","57%","8%","16","16","３／３","54","54","30%","68","３／３","259","259","26%","3156","0","0","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"25","滋賀県","2227","352","352","４／４","380","382","92%","16%","11","11","４／４","52","52","21%","239","４／４","677","677","35%","1554","0","82","3","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"26","京都府","6404","435","435","３／３","565","565","77%","7%","104","104","３／３","145","145","72%","314","３／３","826","826","38%","5647","20","8","8","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"27","大阪府","21675","2128","2128","５／５","2868","3155","67%","10%","503","503","４／５","980","1226","41%","2853","５／５","5618","5618","51%","14732","0","1962","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"28","兵庫県","7434","838","838","６／６","1237","1237","68%","11%","65","65","６／６","142","142","46%","706","６／６","1613","1613","44%","4244","0","1646","862","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"29","奈良県","1569","285","285","３／３","452","452","63%","18%","16","16","３／３","34","34","47%","559","３／３","711","711","79%","0","0","725","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"30","和歌山県","518","518","518","３／３","560","560","93%","100%","2","2","３／３","26","26","8%","0","３／３","0","137","0%","0","0","0","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"31","鳥取県","247","97","97","３／３","310","337","29%","39%","2","2","２／３","44","47","4%","54","１／１","364","364","15%","65","0","31","31","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"32","島根県","253","170","170","５／５","258","324","52%","67%","1","1","５／５","5","25","4%","12","５／５","133","133","9%","18","0","53","19","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"33","岡山県","1893","240","240","４／４","557","557","43%","13%","13","13","４／４","68","68","19%","310","４／４","507","507","61%","1311","0","32","6","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"34","広島県","2607","366","366","４／５","713","831","44%","14%","14","14","４／５","60","69","20%","1230","４／４","1685","1748","70%","538","2","473","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"35","山口県","792","318","294","４／４","533","533","55%","40%","2","2","４／４","47","47","4%","200","４／４","483","483","41%","48","0","226","119","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"36","徳島県","406","130","130","３／４","234","234","56%","32%","1","1","３／４","25","25","4%","232","３／４","276","276","84%","44","0","0","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"37","香川県","838","140","133","３／３","234","234","57%","17%","8","8","３／３","28","28","29%","101","３／３","212","212","48%","124","0","473","473","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"38","愛媛県","738","107","107","３／３","253","253","42%","14%","4","4","３／３","26","26","15%","96","３／３","263","263","37%","508","0","27","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"39","高知県","658","97","97","５／５","231","231","42%","15%","2","2","５／５","24","58","3%","118","５／５","237","277","43%","439","0","4","4","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"40","福岡県","10886","996","989","５／５","1460","1460","68%","9%","34","34","５／５","203","203","17%","1507","５／５","2106","2106","72%","7991","3","392","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"41","佐賀県","1023","233","233","４／５","369","380","61%","23%","3","3","４／５","42","48","6%","270","４／４","472","495","55%","520","0","0","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"42","長崎県","801","199","199","４／４","394","532","37%","25%","1","1","４／４","38","42","2%","167","４／４","433","433","39%","435","0","0","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"43","熊本県","2199","361","361","２／２","610","732","49%","16%","14","14","２／２","56","71","20%","374","２／２","680","700","53%","908","0","556","408","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"44","大分県","1563","232","232","３／４","445","445","52%","15%","2","2","３／４","43","43","5%","466","３／４","684","1014","46%","239","0","626","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"45","宮崎県","1086","116","116","３／３","307","307","38%","11%","3","3","３／３","33","33","9%","194","３／３","450","450","43%","511","8","265","6","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"46","鹿児島県","1893","397","358","４／４","488","488","73%","21%","4","3","４／４","39","39","8%","280","４／４","858","858","33%","0","0","1216","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"47","沖縄県","6484","836","715","５／５","858","858","83%","13%","109","109","５／５","126","126","87%","302","５／５","702","1412","21%","2568","0","2778","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
