"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"31","鳥取県","4569","100","100","0","３／３","257","350","5","29%","2%","0","0","0","３／３","30","47","0","0%","108","0","２／２","459","459","0","24%","0","１／１","5","5","0%","3301","0","1060","1060","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"32","島根県","8232","196","126","0","５／５","348","371","0","34%","2%","5","5","0","５／５","8","28","0","18%","46","0","５／５","133","133","0","35%","0","－","0","0","－","6049","16","1941","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"33","岡山県","13931","245","212","0","４／４","525","554","0","38%","2%","3","2","0","２／４","37","68","0","3%","133","0","２／３","629","629","0","21%","0","２／４","0","5","0%","10308","127","3245","2","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"34","広島県","16407","435","321","3","３／４","524","583","19","55%","3%","9","9","0","３／４","37","45","0","20%","783","0","３／４","1760","2334","0","34%","3","３／４","19","19","16%","13472","233","1717","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"35","山口県","10742","258","258","0","３／４","449","595","0","43%","2%","1","1","0","３／４","23","47","0","2%","191","0","３／４","671","671","0","28%","0","３／４","0","0","－","9158","177","1135","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"36","徳島県","4695","87","87","0","３／５","175","263","22","33%","2%","2","2","0","３／５","16","25","0","8%","195","0","５／５","500","500","0","39%","0","３／５","0","22","0%","4413","0","0","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"37","香川県","8514","147","87","0","３／３","271","271","0","32%","2%","1","1","0","３／３","30","30","0","3%","162","0","２／２","474","474","0","34%","0","３／３","0","0","－","5440","91","2765","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"38","愛媛県","11386","221","123","0","Ⅰ／Ⅰ","371","389","10","32%","2%","1","1","0","Ⅰ／Ⅰ","22","26","0","4%","86","0","３／３","263","263","67","33%","0","Ⅰ／Ⅰ","67","77","0%","10524","168","555","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"39","高知県","5848","143","111","0","５／５","271","271","0","41%","2%","4","4","0","５／５","24","24","0","17%","91","0","５／５","271","271","0","34%","0","５／５","0","0","－","5599","180","15","10","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"40","福岡県","77642","1526","1151","0","５／５","1725","1725","0","67%","2%","9","9","0","５／５","217","217","0","4%","1076","0","４／４","2432","2432","19","44%","0","１／２","19","222","0%","70014","234","5026","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"41","佐賀県","10873","366","287","0","４／５","502","576","50","50%","3%","0","0","0","１／５","8","48","0","0%","191","0","２／４","615","615","0","31%","0","４／５","50","50","0%","10316","221","0","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"42","長崎県","12859","349","257","0","Ⅰ／Ⅱ","433","518","0","50%","3%","1","1","0","Ⅰ／Ⅱ","38","40","0","3%","301","0","Ⅰ／Ⅱ","900","920","20","33%","0","Ⅰ／Ⅱ","0","20","0%","12209","184","0","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"43","熊本県","37199","744","552","0","Ⅱ／Ⅱ","855","855","0","65%","2%","9","9","0","Ⅱ／Ⅱ","68","68","0","13%","584","0","Ⅱ／Ⅱ","1226","1226","0","48%","0","－","0","0","－","25368","99","10503","253","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"44","大分県","10885","216","216","0","３／４","413","508","0","43%","2%","0","0","0","３／４","34","43","0","0%","604","84","３／４","1270","1360","254","44%","84","３／４","175","254","33%","9908","199","157","157","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"45","宮崎県","14434","117","117","0","２／２","306","312","0","38%","1%","1","1","0","２／２","15","15","0","7%","166","0","３／３","500","500","0","33%","0","３／３","0","0","－","11445","154","2706","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"46","鹿児島県","19757","380","356","0","４／４","565","565","0","63%","2%","1","1","0","４／４","34","34","0","3%","1349","0","４／４","1812","1812","47","74%","0","１／４","0","57","0%","0","0","18028","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"47","沖縄県","37227","596","596","0","Ⅰ／Ⅲ","853","853","0","70%","2%","25","25","0","Ⅰ／Ⅲ","64","64","0","39%","519","0","Ⅰ／Ⅲ","2515","2515","100","21%","0","Ⅰ／Ⅲ","100","100","0%","29804","1437","6308","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
