"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"22","静岡県","192","80","４／４","480","17%","450","0","４／４","40","0%","67","31","４／４","592","5%","450","81","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"23","愛知県","609","323","３／４","1215","27%","839","33","３／４","126","26%","121","60","３／４","1300","5%","1300","192","0","34","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"24","三重県","131","124","３／３","392","32%","392","7","３／３","53","13%","53","5","３／３","100","5%","100","2","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"25","滋賀県","135","94","２／３","351","27%","350","8","２／３","49","16%","62","37","２／３","350","11%","350","4","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"26","京都府","181","70","３／３","416","17%","416","10","３／３","86","12%","86","4","３／３","826","0%","826","107","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"27","大阪府","1023","541","３／４","1980","27%","1980","135","３／４","419","32%","215","128","３／３","2416","5%","2416","250","0","104","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"28","兵庫県","381","240","６／６","839","29%","750","44","６／６","116","38%","120","47","６／６","1130","4%","1000","0","0","94","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"29","奈良県","58","40","３／３","372","11%","372","5","３／３","30","17%","30","11","３／３","254","4%","254","0","0","7","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"30","和歌山県","10","10","２／４","400","3%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"31","鳥取県","3","3","２／３","313","1%","300","0","２／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"32","島根県","4","4","１／５","253","2%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"33","岡山県","44","42","２／４","406","10%","250","1","２／４","43","2%","40","2","２／４","207","1%","180","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"34","広島県","37","24","１／３","477","5%","500","3","１／３","36","8%","70","8","１／３","1038","1%","1400","5","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"35","山口県","49","45","３／３","475","9%","475","0","３／３","124","0%","137","4","１／３","834","0%","834","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"36","徳島県","23","23","２／４","200","12%","200","2","２／４","25","8%","25","0","２／４","210","0%","210","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"37","香川県","19","14","２／３","209","7%","209","0","２／３","26","0%","26","5","２／３","101","5%","101","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"38","愛媛県","37","27","３／３","270","10%","223","2","３／３","33","6%","33","9","３／３","192","5%","117","1","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"39","高知県","4","4","２／４","200","2%","200","0","２／４","58","0%","57","0","２／４","203","0%","190","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"40","福岡県","501","257","３／３","764","34%","760","17","３／３","111","15%","110","96","３／３","1387","7%","1200","80","68","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"41","佐賀県","56","48","４／４","328","15%","328","1","４／４","46","2%","46","6","１／４","377","2%","377","1","0","1","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"42","長崎県","29","23","３／４","424","5%","421","1","３／４","38","3%","42","2","３／４","384","1%","384","4","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"43","熊本県","31","27","１／３","473","6%","420","3","１／３","59","5%","59","4","１／３","380","1%","140","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"44","大分県","24","21","２／４","367","6%","367","0","２／４","43","0%","43","2","１／２","700","0%","170","1","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"45","宮崎県","17","14","２／３","274","5%","274","0","２／３","33","0%","33","3","２／３","250","1%","250","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"46","鹿児島県","27","22","３／４","375","6%","300","1","３／４","42","2%","48","5","３／４","577","1%","370","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"47","沖縄県","262","179","４／５","492","36%","425","26","４／５","55","47%","51","53","４／５","440","12%","340","30","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
