"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"26","京都府","1563","161","161","３／３","708","738","22%","10%","22","22","３／３","161","161","14%","137","３／３","1126","1126","12%","1263","0","2","2","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"27","大阪府","4150","731","731","５／５","3245","3408","21%","18%","274","274","４／５","1122","1284","21%","795","６／６","8408","8408","9%","2347","0","277","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"28","兵庫県","1445","390","390","６／６","1357","1357","29%","27%","31","31","６／６","142","142","22%","321","６／６","2011","2011","16%","651","0","83","53","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"29","奈良県","274","131","131","３／３","468","468","28%","48%","7","7","３／３","34","34","21%","76","３／３","948","948","8%","14","14","53","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"30","和歌山県","59","59","59","３／３","589","589","10%","100%","1","1","３／３","26","26","4%","0","３／３","151","288","0%","0","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"31","鳥取県","19","19","19","３／３","301","337","6%","100%","0","0","２／３","44","47","0%","0","１／１","364","364","0%","0","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"32","島根県","61","53","53","３／５","276","324","16%","87%","0","0","３／５","5","25","0%","0","３／５","133","133","0%","0","0","8","8","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"33","岡山県","106","38","38","４／４","557","557","7%","36%","3","3","４／４","68","68","4%","42","４／４","507","507","8%","25","0","1","1","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"34","広島県","324","89","81","５／５","814","872","9%","27%","6","6","５／５","63","69","9%","138","５／５","1597","2397","6%","88","0","9","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"35","山口県","84","61","61","４／４","533","533","11%","73%","0","0","４／４","47","47","0%","15","４／４","583","583","3%","6","0","2","2","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"36","徳島県","61","43","43","３／４","234","234","18%","70%","2","2","３／４","25","25","8%","10","３／４","400","400","3%","8","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"37","香川県","47","27","27","３／３","238","238","11%","57%","2","2","３／３","30","30","7%","6","３／３","368","368","2%","9","0","5","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"38","愛媛県","111","37","37","３／３","278","278","13%","33%","3","3","３／３","26","26","12%","21","３／３","263","263","8%","53","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"39","高知県","53","12","12","５／５","234","236","5%","23%","1","1","５／５","24","58","2%","31","５／５","228","268","12%","0","0","10","3","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"40","福岡県","2905","342","305","５／５","1480","1480","21%","12%","23","23","５／５","203","203","11%","161","５／５","2106","2106","8%","1969","0","433","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"41","佐賀県","67","27","27","１／５","229","434","6%","40%","1","1","１／５","8","48","2%","40","１／４","495","495","8%","0","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"42","長崎県","88","38","38","３／４","248","440","9%","43%","1","1","３／４","21","38","3%","21","３／４","513","535","4%","25","0","4","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"43","熊本県","193","77","77","２／２","758","758","10%","40%","6","6","２／２","71","71","8%","30","２／２","789","789","4%","77","0","9","8","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"44","大分県","151","77","77","２／４","469","469","16%","51%","3","3","２／４","43","43","7%","52","２／４","1019","1249","4%","11","0","11","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"45","宮崎県","60","21","21","３／３","327","332","6%","35%","4","4","３／３","33","33","12%","6","３／３","450","450","1%","29","0","4","1","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"46","鹿児島県","67","54","42","４／４","475","475","9%","81%","2","2","４／４","34","34","6%","12","４／４","1261","1261","1%","0","0","1","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"47","沖縄県","1109","223","223","５／５","482","843","26%","20%","44","44","５／５","140","140","31%","177","５／５","722","1412","13%","452","0","257","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
