"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"14","神奈川県","530","289","１／３","1939","15%","1939","27","１／３","200","14%","200","118","１／２","811","15%","1000","123","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"15","新潟県","9","9","１／３","456","2%","456","0","１／３","112","0%","112","0","１／３","176","0%","176","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"16","富山県","9","9","１／４","500","2%","500","1","１／４","36","3%","36","0","１／４","100","0%","100","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"17","石川県","46","40","２／２","258","16%","254","4","２／２","35","11%","35","6","２／２","340","2%","340","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"18","福井県","2","2","１／４","215","1%","190","1","１／４","24","4%","24","0","１／４","75","0%","75","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"19","山梨県","6","6","１／４","285","2%","250","2","１／４","24","8%","24","0","１／４","242","0%","100","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"20","長野県","5","5","２／４","350","1%","350","0","２／４","48","0%","48","0","２／４","250","0%","250","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"21","岐阜県","31","31","１／３","625","5%","625","2","１／３","51","4%","51","0","１／３","466","0%","466","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"22","静岡県","16","8","１／４","384","2%","450","1","１／４","34","3%","67","2","１／４","223","1%","450","0","0","6","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"23","愛知県","350","152","３／４","791","19%","839","17","３／４","70","24%","121","41","３／４","1300","3%","1300","129","0","28","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"24","三重県","83","83","２／３","363","23%","363","3","２／３","51","6%","51","0","２／３","100","0%","100","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"25","滋賀県","28","28","２／４","429","7%","450","0","２／４","45","0%","72","0","２／４","260","0%","250","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"26","京都府","59","40","２／３","530","8%","750","9","２／３","86","10%","86","5","２／３","338","1%","338","14","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"27","大阪府","563","318","２／４","1337","24%","1615","44","２／４","333","13%","215","99","２／３","872","11%","1015","70","0","76","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"28","兵庫県","101","89","５／５","663","13%","650","8","５／５","110","7%","120","12","５／５","698","2%","700","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"29","奈良県","15","14","１／３","467","3%","500","0","１／３","25","0%","25","1","１／３","108","1%","108","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"30","和歌山県","6","6","２／４","400","2%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"31","鳥取県","5","5","１／３","313","2%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"32","島根県","3","3","１／５","253","1%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"33","岡山県","8","8","１／４","257","3%","250","0","１／４","37","0%","40","0","１／４","207","0%","180","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"34","広島県","95","92","１／３","553","17%","500","2","１／３","72","3%","70","3","１／３","854","0%","700","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"35","山口県","9","9","１／４","423","2%","423","1","１／４","102","1%","102","0","１／４","834","0%","834","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"36","徳島県","9","9","２／４","200","5%","200","0","２／４","25","0%","25","0","２／４","150","0%","150","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"37","香川県","3","3","１／３","185","2%","185","0","１／３","25","0%","25","0","１／３","101","0%","101","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"38","愛媛県","0","0","１／３","229","0%","223","0","１／３","33","0%","33","0","１／３","117","0%","117","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"39","高知県","1","1","１／４","192","1%","200","0","１／４","57","0%","57","0","１／４","361","0%","190","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"40","福岡県","93","75","１／３","490","15%","760","9","１／３","60","15%","110","3","１／３","1057","0%","1200","15","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"41","佐賀県","1","1","１／４","274","0%","274","0","１／４","46","0%","46","0","１／４","253","0%","253","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"42","長崎県","2","0","２／４","395","0%","395","0","２／４","27","0%","42","1","２／４","224","0%","550","1","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"43","熊本県","7","7","１／３","400","2%","400","0","１／３","59","0%","59","0","１／３","1430","0%","140","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"44","大分県","3","3","１／４","330","1%","330","0","１／４","41","0%","41","0","１／２","700","0%","170","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"45","宮崎県","1","1","２／３","246","0%","246","0","２／３","33","0%","33","0","２／３","250","0%","250","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"46","鹿児島県","36","10","３／４","253","4%","300","0","３／４","48","0%","48","25","３／４","370","7%","370","1","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"47","沖縄県","188","132","３／５","465","28%","425","24","３／５","53","45%","51","23","３／５","340","7%","340","33","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
