"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"29","奈良県","146","94","94","３／３","439","445","21%","64%","11","11","３／３","32","34","32%","37","３／３","711","711","5%","0","0","15","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"30","和歌山県","19","19","19","２／３","470","470","4%","100%","2","2","２／３","26","26","8%","0","２／３","137","137","0%","0","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"31","鳥取県","4","4","4","２／３","259","323","1%","100%","0","0","２／３","44","47","0%","0","１／１","141","141","0%","0","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"32","島根県","12","12","12","１／５","154","324","4%","100%","1","1","１／５","7","25","4%","0","１／５","98","98","0%","0","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"33","岡山県","139","104","102","３／４","395","492","21%","75%","4","4","３／４","47","58","7%","21","３／４","404","404","5%","14","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"34","広島県","400","213","213","４／４","706","706","30%","53%","16","16","４／４","58","58","28%","96","４／４","1748","1748","5%","46","17","45","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"35","山口県","148","133","133","４／４","527","527","25%","90%","2","2","４／４","47","47","4%","7","４／４","483","1044","1%","1","0","7","7","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"36","徳島県","20","20","20","３／４","234","234","9%","100%","0","0","３／４","25","25","0%","0","３／４","276","276","0%","0","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"37","香川県","55","40","40","３／３","230","230","17%","73%","4","4","３／３","28","28","14%","11","３／３","201","201","5%","3","0","1","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"38","愛媛県","17","10","10","３／３","218","218","5%","59%","4","4","３／３","19","19","21%","5","３／３","233","233","2%","2","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"39","高知県","107","63","63","５／５","226","226","28%","59%","12","12","５／５","24","58","21%","31","５／５","221","221","14%","0","0","13","2","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"40","福岡県","1334","489","437","４／４","1307","1375","32%","37%","43","43","４／４","189","189","23%","134","４／４","2106","2106","6%","661","1","50","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"41","佐賀県","19","18","18","３／５","244","365","5%","95%","1","1","３／５","11","48","2%","1","１／４","472","472","0%","0","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"42","長崎県","95","55","55","４／４","351","421","13%","58%","1","1","４／４","38","38","3%","32","４／４","406","406","8%","8","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"43","熊本県","113","91","91","２／２","598","598","15%","81%","8","8","２／２","56","56","14%","10","２／２","520","520","2%","8","0","4","3","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"44","大分県","65","59","59","２／４","438","438","13%","91%","1","1","２／４","43","43","2%","2","１／４","150","1014","0%","0","0","4","4","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"45","宮崎県","25","15","15","１／３","167","285","5%","60%","1","1","１／３","21","33","3%","8","１／３","50","300","3%","2","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"46","鹿児島県","162","102","102","４／４","421","421","24%","63%","2","2","４／４","41","41","5%","57","４／４","762","762","7%","0","0","3","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"47","沖縄県","1974","609","609","５／５","684","686","89%","31%","75","75","５／５","94","94","80%","128","５／５","563","700","18%","849","0","388","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
