"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"11","埼玉県","3156","909","４／４","1321","69%","1400","52","４／４","142","37%","200","329","３／３","1347","24%","1450","1745","0","173","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"12","千葉県","3659","815","４／４","1154","71%","1200","44","４／４","93","47%","180","248","４／４","968","26%","1400","2427","0","169","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"13","東京都","5818","2595","４／４","4900","53%","4000","注８　498","４／４","注８　500","注8　100%","500","527","４／４","3290","16%","3000","1191","115","1390","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"14","神奈川県","1727","682","２／３","1555","44%","1555","55","２／３","190","29%","190","173","２／２","1535","11%","1000","872","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"15","新潟県","77","68","２／３","456","15%","456","2","２／３","112","2%","112","9","１／３","176","5%","176","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"16","富山県","18","17","２／４","500","3%","500","3","２／４","36","8%","36","1","２／４","377","0%","100","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"17","石川県","136","97","２／２","258","38%","254","0","２／２","35","0%","35","39","２／２","340","11%","340","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"18","福井県","42","42","３／４","255","16%","255","2","３／４","24","8%","24","0","１／４","75","0%","75","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"19","山梨県","19","19","２／４","285","7%","250","2","２／４","24","8%","24","0","２／４","139","0%","100","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"20","長野県","80","61","４／４","434","14%","434","1","４／４","49","2%","49","11","４／４","375","3%","375","8","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"21","岐阜県","335","248","３／３","694","36%","694","12","３／３","59","20%","59","60","３／３","603","10%","603","0","6","21","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"22","静岡県","241","97","４／４","466","21%","450","2","４／４","40","5%","67","33","４／４","592","6%","450","111","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"23","愛知県","1499","537","４／４","1215","44%","839","45","４／４","126","36%","121","114","４／４","1300","9%","1300","764","0","84","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"24","三重県","256","200","３／３","373","54%","373","13","３／３","53","25%","53","8","３／３","100","8%","100","48","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"25","滋賀県","184","121","３／３","349","35%","349","15","３／３","47","32%","62","40","３／３","403","10%","420","22","0","1","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"26","京都府","821","173","３／３","416","42%","416","19","３／３","86","22%","86","46","３／３","826","6%","826","602","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"27","大阪府","3072","997","４／４","1948","51%","1615","216","４／４","421","51%","215","426","３／３","2416","18%","1036","885","0","764","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"28","兵庫県","990","465","６／６","839","55%","750","68","６／６","116","59%","120","184","６／６","1130","16%","1000","0","0","341","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"29","奈良県","203","132","３／３","370","36%","500","7","３／３","27","26%","25","46","３／３","254","18%","250","0","0","25","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"30","和歌山県","61","61","３／４","400","15%","400","1","３／４","40","3%","40","0","３／４","137","0%","137","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"31","鳥取県","18","18","２／３","313","6%","300","1","２／３","47","2%","40","0","１／３","340","0%","150","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"32","島根県","14","14","２／５","253","6%","253","0","２／５","25","0%","25","0","２／５","98","0%","98","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"33","岡山県","96","63","２／４","401","16%","250","5","２／４","37","14%","40","18","２／４","207","9%","180","8","7","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"34","広島県","159","113","３／３","477","24%","500","8","３／３","36","22%","70","34","３／３","1038","3%","1400","11","1","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"35","山口県","175","100","３／３","475","21%","475","0","３／３","124","0%","137","75","１／３","834","9%","834","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"36","徳島県","30","30","２／４","200","15%","200","3","２／４","25","12%","25","0","２／４","180","0%","180","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"37","香川県","86","58","３／３","199","29%","199","1","３／３","26","4%","26","24","３／３","101","24%","101","0","1","3","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"38","愛媛県","68","33","３／３","270","12%","223","1","３／３","33","3%","33","7","３／３","192","4%","117","8","20","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"39","高知県","15","9","３／４","200","5%","200","1","３／４","58","2%","57","5","３／４","203","2%","190","1","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"40","福岡県","1594","505","３／３","732","69%","760","38","３／３","110","35%","110","273","３／３","1387","20%","1200","729","87","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"41","佐賀県","56","35","４／４","328","11%","328","1","４／４","46","2%","46","18","１／４","377","5%","377","0","0","3","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"42","長崎県","154","92","４／４","424","22%","421","2","４／４","38","5%","42","7","４／４","384","2%","384","55","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"43","熊本県","115","102","３／３","440","23%","420","15","３／３","59","25%","59","7","３／３","230","3%","140","6","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"44","大分県","114","74","２／４","367","20%","367","0","２／４","43","0%","43","30","１／２","700","4%","170","10","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"45","宮崎県","104","41","３／３","274","15%","274","3","３／３","33","9%","33","26","３／３","250","10%","250","37","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"46","鹿児島県","84","62","３／４","357","17%","300","3","３／４","38","8%","48","20","３／４","577","3%","370","2","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"47","沖縄県","533","350","５／５","473","74%","425","27","５／５","53","51%","51","85","５／５","440","19%","340","80","18","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
