"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"31","鳥取県","73","73","２／３","313","23%","300","1","２／３","47","2%","40","0","１／３","340","0%","150","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"32","島根県","22","22","２／５","253","9%","253","1","２／５","25","4%","25","0","２／５","98","0%","98","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"33","岡山県","327","142","３／４","401","35%","250","9","３／４","37","24%","40","49","３／４","207","24%","180","136","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"34","広島県","985","294","３／３","453","65%","500","14","３／３","33","42%","70","284","３／３","819","35%","700","308","99","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"35","山口県","129","103","１／３","423","24%","423","3","１／３","137","2%","137","26","１／３","834","3%","834","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"36","徳島県","22","22","２／４","200","11%","200","0","２／４","25","0%","25","0","２／４","180","0%","180","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"37","香川県","90","35","２／３","199","18%","199","1","２／３","26","4%","26","16","２／３","101","16%","101","0","0","39","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"38","愛媛県","125","53","３／３","229","23%","223","4","３／３","33","12%","33","30","３／３","192","16%","117","42","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"39","高知県","85","54","４／４","200","27%","200","5","４／４","58","9%","57","20","４／４","203","10%","190","11","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"40","福岡県","1762","392","２／３","600","65%","760","22","２／３","110","20%","110","490","２／３","1057","46%","1200","880","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"41","佐賀県","71","41","２／４","273","15%","273","1","２／４","46","2%","46","30","１／４","253","12%","253","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"42","長崎県","339","154","４／４","395","39%","395","9","４／４","27","33%","42","88","４／４","367","24%","550","45","0","52","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"43","熊本県","391","213","３／３","420","51%","420","12","３／３","59","20%","59","65","３／３","1430","5%","140","113","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"44","大分県","129","87","２／４","355","25%","355","4","２／４","41","10%","41","42","１／２","700","6%","170","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"45","宮崎県","286","63","２／３","246","26%","246","2","２／３","33","6%","33","93","２／３","250","37%","250","130","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"46","鹿児島県","141","80","３／４","345","23%","300","2","３／４","38","5%","48","54","３／４","370","15%","370","7","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"47","沖縄県","375","175","４／５","469","37%","425","17","４／５","53","32%","51","111","４／５","370","30%","340","87","0","2","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
