"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"11","埼玉県","534","202","202","４／４","1774","1774","11%","38%","28","28","４／４","183","183","15%","100","４／４","1925","1986","5%","197","0","35","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"12","千葉県","363","157","157","２／３","1378","1386","11%","43%","26","26","２／３","113","113","23%","61","２／３","1390","1390","4%","137","0","8","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"13","東京都","1150","480","465","１／３","6651","6651","7%","42%","181","179","１／３","1207","1207","15%","118","４／４","3310","3310","4%","343","0","209","8","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"14","神奈川県","587","236","236","２／４","1713","2000","12%","40%","30","30","２／４","176","210","14%","39","１／１","2302","2428","2%","312","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"15","新潟県","75","34","34","２／３","555","555","6%","45%","2","2","２／３","112","112","2%","9","２／３","300","300","3%","32","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"16","富山県","36","22","22","１／４","83","500","4%","61%","1","1","１／４","12","36","3%","7","１／４","625","625","1%","7","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"17","石川県","39","23","19","２／３","250","303","6%","59%","0","0","２／３","33","37","0%","7","２／３","560","560","1%","4","0","5","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"18","福井県","24","21","21","２／５","141","424","5%","88%","1","1","２／５","10","24","4%","3","２／５","153","316","1%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"19","山梨県","10","8","8","３／４","210","367","2%","80%","0","0","３／４","19","24","0%","2","３／４","966","966","0%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"20","長野県","54","30","30","２／３","353","529","6%","56%","0","0","２／３","34","43","0%","15","２／３","806","806","2%","8","0","1","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"21","岐阜県","170","67","67","１／３","359","859","8%","39%","3","3","１／３","53","59","5%","90","１／３","549","1619","6%","0","0","13","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"22","静岡県","43","16","16","４／５","783","783","2%","37%","1","1","４／５","63","63","2%","12","４／５","870","870","1%","14","0","1","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"23","愛知県","479","124","123","４／４","1722","1722","7%","26%","12","12","４／４","183","183","7%","61","４／４","1628","1691","4%","256","0","38","3","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"24","三重県","95","49","49","３／３","462","462","11%","52%","3","3","３／３","51","51","6%","3","３／３","259","259","1%","43","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"25","滋賀県","48","22","22","４／４","437","439","5%","46%","1","1","４／４","52","52","2%","14","４／４","677","677","2%","12","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"26","京都府","283","62","62","３／３","708","738","8%","22%","11","11","３／３","161","161","7%","45","３／３","1126","1126","4%","176","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"27","大阪府","1629","462","462","２／５","2735","3423","13%","28%","165","165","２／５","1029","1296","13%","290","４／６","4108","8408","3%","805","0","72","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"28","兵庫県","504","140","140","６／６","1357","1357","10%","28%","13","13","６／６","142","142","9%","107","６／６","2011","2011","5%","222","0","35","14","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"29","奈良県","106","49","49","２／３","418","469","10%","46%","3","3","２／３","32","34","9%","22","２／３","948","948","2%","1","1","34","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"30","和歌山県","16","16","16","３／３","581","581","3%","100%","1","1","３／３","26","26","4%","0","３／３","151","288","0%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"31","鳥取県","10","10","10","３／３","301","337","3%","100%","0","0","２／３","44","47","0%","0","１／１","277","364","0%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"32","島根県","9","9","9","１／５","196","324","3%","100%","0","0","１／５","5","25","0%","0","１／５","0","133","0%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"33","岡山県","66","27","27","３／４","435","557","5%","41%","2","2","３／４","49","68","3%","22","３／４","507","507","4%","17","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"34","広島県","116","44","44","３／５","557","877","5%","38%","4","4","３／５","47","69","6%","38","３／５","1597","2397","2%","34","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"35","山口県","70","40","40","２／４","237","533","8%","57%","0","0","２／４","10","47","0%","10","２／４","483","583","2%","11","0","9","6","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"36","徳島県","19","13","13","３／４","234","234","6%","68%","0","0","３／４","25","25","0%","3","３／４","400","400","1%","3","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"37","香川県","13","11","11","２／３","180","238","5%","85%","1","1","２／３","21","30","3%","1","２／３","368","368","0%","0","0","1","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"38","愛媛県","89","27","27","３／３","244","244","11%","30%","1","1","３／３","19","19","5%","21","３／３","263","263","8%","41","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"39","高知県","14","9","9","３／５","167","238","4%","64%","2","0","３／５","16","58","0%","5","３／５","228","268","2%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"40","福岡県","396","100","99","４／５","1336","1482","7%","25%","16","16","４／５","190","203","8%","55","４／５","2000","2106","3%","241","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"41","佐賀県","31","11","11","１／５","263","468","2%","35%","1","1","１／５","8","48","2%","20","１／４","515","515","4%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"42","長崎県","47","25","25","２／４","115","440","6%","53%","0","0","２／４","21","38","0%","17","２／４","513","535","3%","5","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"43","熊本県","40","17","17","２／２","642","642","3%","43%","4","4","２／２","56","56","7%","10","２／２","1000","1000","1%","10","0","3","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"44","大分県","51","29","29","２／４","495","495","6%","57%","1","1","２／４","43","43","2%","17","２／４","1019","1249","1%","3","0","2","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"45","宮崎県","14","4","4","３／３","332","332","1%","29%","0","0","３／３","33","33","0%","10","３／３","450","450","2%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"46","鹿児島県","26","13","13","２／４","205","475","3%","50%","0","0","２／４","8","34","0%","10","２／４","0","1261","1%","0","0","3","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"47","沖縄県","275","42","42","３／５","308","534","8%","15%","4","4","３／５","63","63","6%","72","３／５","410","702","10%","101","0","60","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
