japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji,__index_level_0__
JP-34,HIROSHIMA,2021-11-20 00:00:00 UTC,22123.5703125,22120.23828125,22680.427734375,202.72843933105469,202.69369506835938,217.37286376953125,17.030990600585938,17.020071029663086,55.171749114990234,21882.259765625,21879.03125,22245.3359375,,,,,2021-11-04 00:00:00 UTC,0.0155181884765625,1.966796875,,,広島県,1891
JP-34,HIROSHIMA,2021-11-21 00:00:00 UTC,22125.138671875,22121.734375,22690.1015625,202.75428771972656,202.71876525878906,217.71005249023438,15.7420072555542,15.731696128845215,51.809982299804688,21885.0390625,21881.736328125,22254.111328125,,,,,2021-11-04 00:00:00 UTC,0.025848388671875,1.568359375,,,広島県,1892
JP-34,HIROSHIMA,2021-11-22 00:00:00 UTC,22126.357421875,22122.88671875,22695.67578125,202.77890014648438,202.74267578125,218.0126953125,14.545049667358398,14.535344123840332,48.5483283996582,21887.744140625,21884.376953125,22261.8984375,,,,,2021-11-04 00:00:00 UTC,0.0246124267578125,1.21875,,,広島県,1893
JP-34,HIROSHIMA,2021-11-23 00:00:00 UTC,22128.361328125,22124.826171875,22702.32421875,202.80337524414062,202.76654052734375,218.26950073242188,13.73221492767334,13.722905158996582,46.4189338684082,21890.505859375,21887.07421875,22267.25,,,,,2021-11-04 00:00:00 UTC,0.02447509765625,2.00390625,,,広島県,1894
JP-34,HIROSHIMA,2021-11-24 00:00:00 UTC,22130.47265625,22126.8828125,22708.15625,202.83255004882812,202.795166015625,218.49993896484375,12.9573974609375,12.948492050170898,44.29888916015625,21893.25390625,21889.767578125,22271.421875,,,,,2021-11-04 00:00:00 UTC,0.0291748046875,2.111328125,,,広島県,1895
JP-34,HIROSHIMA,2021-11-25 00:00:00 UTC,22132.29296875,22128.65234375,22712.84765625,202.85519409179688,202.81732177734375,218.69967651367188,12.01397705078125,12.005620002746582,41.491359710693359,21895.8203125,21892.28515625,22274.861328125,,,,,2021-11-04 00:00:00 UTC,0.02264404296875,1.8203125,,,広島県,1896
JP-34,HIROSHIMA,2021-11-26 00:00:00 UTC,22133.98828125,22130.3046875,22717.92578125,202.87358093261719,202.83528137207031,218.88468933105469,11.352721214294434,11.34473705291748,39.560512542724609,21898.0546875,21894.474609375,22278.640625,,,,,2021-11-04 00:00:00 UTC,0.0183868408203125,1.6953125,,,広島県,1897
JP-34,HIROSHIMA,2021-11-27 00:00:00 UTC,22135.8515625,22132.125,22724.625,202.88468933105469,202.84597778320312,219.04536437988281,10.750782012939453,10.743145942687988,37.763679504394531,21900.17578125,21896.556640625,22282.220703125,,,,,2021-11-04 00:00:00 UTC,0.0111083984375,1.86328125,,,広島県,1898
JP-34,HIROSHIMA,2021-11-28 00:00:00 UTC,22137.349609375,22133.5859375,22727.583984375,202.90225219726562,202.86318969726562,219.2015380859375,9.9628448486328125,9.9557056427001953,35.24560546875,21902.498046875,21898.841796875,22286.220703125,,,,,2021-11-04 00:00:00 UTC,0.0175628662109375,1.498046875,,,広島県,1899
JP-34,HIROSHIMA,2021-11-29 00:00:00 UTC,22138.517578125,22134.724609375,22730.482421875,202.91909790039062,202.87968444824219,219.37626647949219,9.2321710586547852,9.2254953384399414,32.858963012695312,21904.7734375,21901.087890625,22293.18359375,,,,,2021-11-04 00:00:00 UTC,0.016845703125,1.16796875,,,広島県,1900
